Nation,SailNo,HelmName,CrewName,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Boat,Total,Net,Rank
CAN,6910,John Bryant,Ron Hughes,NSC,1,(7.00 RET),(3.00),1,1,1,1,1,2,Toil & Trouble,18,8,1st
CAN,8735,Brent Beninger,Martin Hicks,NSC,(3.00),1,1,(4.00),2,2,2,2,1,Spaghetti Factory,18,11,2nd
CAN,9028,Shona Moss Lovshin,Evania Lovshin,NSC,(4.00),2,2,2,3,4,(8.00 DNC),3,3,Red Rocket,31,19,3rd
CAN,8587,Paul Place,Samuel Place,NSC,(5.00),3,5,(6.00),5,3,3,4,5,The Pink Panther Strikes Again,39,28,4th
CAN,8368,Jacob Livingstone,Philippe Doucet,NSC,(7.00 RET),(7.00 OCS),6,5,6,5,5,6,4,Suasion V,51,37,5th
CAN,7776,Robert Voyer,Christian Voyer,NSC,(8.00 DNC),(8.00 DNC),8.00 DNS,3,4,8.00 DNC,4,5,6,7776,54,38,6th
CAN,8410,Clarissa Bush,Chris Gillies,NSC,2,4,4,(8.00 DNC),(8.00 DNC),8.00 DNC,8.00 DNC,8.00 DNC,8.00 DNC,Bandersnatch,58,42,7th
