SAIL,NUMBER,Helm,Crew,CLUB/ORG,WORLDS - RACE 1,WORLDS - RACE 2,WORLDS - RACE 3,WORLDS - RACE 4,WORLDS - RACE 5,WORLDS - RACE 6,WORLDS - RACE 7,WORLDS - RACE 8,WORLDS - RACE 9,WORLDS - RACE 10,TOTAL,NET,Place
USA,9106,Mike Martin,Adam Lowry,StFYC,3,1,2,[4],1,2,RDG - 2,RDG - 2.2,[13],1,31.2,14.02.2023,1
USA,9248,Eric Anderson,Nic Baird,YCYC/SPYC/StFYC,2,2,1,1,[10],1,[13],3,1,8,42,19,2
USA,9072,Mike Holt,Carl Smit,Santa Cruz Yacht Club,[4],4,4,2,3,4,4,2,[5],2,34,25,3
GBR,9253,Nathan Batchelor,Sam Pascoe,Tynemouth SC,1,8,7,[9],[9],5,5,1,3,7,55,37,4
GBR,9238,Ian Pinnell,Alex Davies,Hisc,5,9,6,[14],4,8,2,5,9,[24],86,48,5
FRA,9220,Philippe Boite,Marin Carnot,CVSQ,10,7,9,3,2,7,8,[11],[12],3,72,49,6
USA,9160,Howard Hamlin,Jeff Nelson,NHYC,[16],3,10,10,7,3,6,6,[29],5,95,50,7
USA,9250,JB Turney,Jon Bell,Santa Barbara Yacht Club,[14],5,11,7,[12],6,12,7,6,11,91,65,8
GBR,9215,Roger Gilbert,Ian Mitchell,Frensham Pond / Hayling Island,6,6,14,6,[32],17,7,[25],18,6,137,80,9
USA,9240,A.J. Conrads,Rob Woelfel,Tahoe YC,8,14,12,8,8,9,[23],13,[20],15,130,87,10
CAN,9216,Robert Tennant,Steve Bourdow,Royal Victoria Yacht Club,9,12,8,13,19,13,[37],[23],10,13,157,97,11
USA,8681,Ryan Cox,Stuart Park,Ventura Yacht Club,11,16,13,[28],15,[22],15,15,4,10,149,99,12
USA,8854,Craig Thompson,Adam Wolnikowski,Thompson Boat Works,12,10,3,19,17,21,[36],20,15,[30],183,117,13
USA,9091,Ted Conrads,Reeve Dunne,Tahoe,15,[DNC - 61],26,22,5,18,[28],18,7,9,209,120,14
USA,8786,Luke Ingalls,John Ingalls,Sakonnet YC,13,20,18,11,21,19,[24],4,[34],18,182,124,15
GER,9260,Tim Böger,Finn Böger,HSC,25,[29],20,15,16,12,17,8,[30],12,184,125,16
USA,9237,Bruce Edwards,Shane Illidge,StFYC,21,[37],15,5,20,[26],19,21,14,17,195,132,17
USA,9142,Malcom Higgins,Paul von Grey,PCYC,7,11,5,[DNC - 61],11,27,[38],19,16,38,233,134,18
AUS,9210,Michael Quirk,Johannes Tellen,CNCB,29,13,30,TLE - 34,[DNC - 61],[DNC - 61],1,10,2,19,260,138,19
GER,9258,Alexander Holzapfel,Arne Wittemer,Post-Sportverein Koblenz,20,[28],[25],24,14,20,10,12,19,22,194,141,20
USA,9165,Pete Spaulding,Mike Radziejowski,.,24,[DNC - 61],[37],16,13,11,14,28,26,20,250,152,21
USA,9252,Douglas Hagan,Keahi Ho,None,17,30,19,[DNC - 61],25,15,26,16,11,[32],252,159,22
AUS,9227,Chris Gregg,Ian Gregg,Darling Point Sailing Squadron (DPSS),[RET - 61],35,16,[DNF - 61],34,10,27,9,25,4,282,160,23
USA,8576,Mike Punnett,Rich Mundell,SISA,30,18,17,[RET - 61],[RET - 61],28,11,14,33,21,294,172,24
USA,8967,James Golden,Caleb Yoslov,Annapolis Yacht Club/ San Francisco Yacht Club,28,25,21,12,23,29,9,[41],[36],29,253,176,25
USA,9184,Eric Schwab,Clark Hayes,Corpus Christi Yacht Club,22,26,[41],TLE - 34,26,23,[42],31,8,14,267,184,26
USA,9208,Elsa Balton,Blaine Pedlow,StFYC,[36],17,[33],25,24,16,33,33,21,23,261,192,27
AUS,9202,Kevin Cameron,Sam Heritage,Darling Point Sailing Squadron,23,15,31,17,35,25,[40],22,[41],25,274,193,28
POL,9145,Jakub Pawluk,Marcin Józefowski,Sailing Legia Warszawa,[33],23,22,23,22,24,22,[37],31,27,264,194,29
USA,9095,Macy Nelson,Nate Barton,West River Sailing Club,26,19,28,21,33,31,20,[46],[35],26,285,204,30
IRL,8987,Peter Scannell,John Dunlea,Monkstown Bay Sailing Club,27,22,24,29,[36],[RET - 61],32,24,23,28,306,209,31
USA,9082,Jeff Miller,Matt Merchant,Santa Cruz YC,18,[RET - 61],27,[DNC - 61],6,14,21,26,DSQ - 61,RET - 61,356,234,32
USA,8714,Al Sargent,Adam Wyatt,St. Francis YC / Newcastle Cruising YC,34,27,[RET - 61],[DNF - 61],28,40,34,38,17,16,356,234,33
USA,8937,Tim Murphy,Ian Mathiesen,US Sailing,31,24,35,27,[38],30,30,27,[37],37,316,241,34
USA,9027,Pierre Jeangirard,Langdon Junge,PCYC,[DSQ - 61],39,23,[RET - 61],18,35,43,34,24,35,373,251,35
USA,8930,Duane Delfosse,Mike Hull,LSYC,19,33,[40],32,29,[43],29,39,39,33,336,253,36
USA,8680,Ryan Nelson,Mike Bishop,Encinal Yacht Club,35,34,29,18,39,38,[49],29,[50],34,355,256,37
FRA,9147,Herve De Kergariou,Guillaume de Kergariou,Sshr,32,38,42,TLE - 34,[50],37,39,17,22,[43],354,261,38
FRA,9219,Elisabeth Neidhart,Pierre Jean Gallo,YCIF,38,31,34,20,40,33,[46],[DNF - 61],38,31,372,265,39
GER,9230,Norbert Dasenbrook,Oliver Stieglitz,HSC,RDG - 34.8,RDG - 34.8,36,26,42,36,25,[44],[RET - 61],40,379.6,274.6,40
USA,9073,Carter Jackson,Don Smith,Manly Yacht Club,37,21,32,31,[43],34,[47],43,42,36,366,276,41
USA,9083,Aaron Ross,Rob Waterman,Santa Cruz Yacht Club,41,32,43,[RET - 61],30,32,18,42,[44],42,385,280,42
CAN,7200,Ali Meller,Angela Stenger,Kingston Yacht Club,40,36,[RET - 61],[DNC - 61],31,RET - 61,41,40,27,41,439,317,43
USA,8782,Colin Wahl,Ian Reeves,Bellingham Community Boating Center,48,[RET - 61],46,[DNC - 61],27,TLE - 47,44,36,40,47,457,335,44
USA,8266,Steve Anderes,Nathan De Vries,IYC/EYC,45,40,39,[RET - 61],[47],42,45,35,45,44,443,335,45
CAN,7606,Robert Bartlewski,Alexis Preel,OHCC Toronto,47,TLE - 46,38,30,[52],39,[50],49,47,45,443,341,46
GBR,9236,Neil Fulcher,Jim Hunt,Stone Sc,39,[DNC - 61],[RET - 61],DNC - 61,37,DNF - 61,31,32,32,RET - 61,476,354,47
USA,9116,Jimmy Franzone,Bjorn Antell,StFYC,49,43,44,[DNF - 61],46,44,35,48,[52],46,468,355,48
USA,9004,Christian Manchester,Andrea Ciccardi,StFYC,[DNC - 61],[DNC - 61],DNC - 61,DNC - 61,DNC - 61,DNC - 61,16,30,28,39,479,357,49
CAN,9138,Marek Balinski,Alex Byczko,OHCC,46,42,[RET - 61],[DNC - 61],49,TLE - 47,54,47,43,48,498,376,50
CAN,8755,Brian Trainor,Brendan Trainor,Kitsilano Yacht Club,50,41,45,[RET - 61],45,45,53,TLE - 52,48,[RET - 61],501,379,51
USA,8908,Antoine Laussu,Alexandre Laussu,PSSA,[RET - 61],[DNC - 61],47,DNF - 61,48,RET - 61,52,TLE - 52,51,49,543,421,52
CAN,7611,James R. Brown,Ethan Brown,Wabamun Sailing Club,[RET - 61],[DNS - 61],RET - 61,DNC - 61,51,TLE - 47,55,TLE - 52,54,50,553,431,53
GBR,9261,Martin Wedge,John Ironmonger,Carmaux,44,[RET - 61],[RET - 61],DNC - 61,41,RET - 61,RET - 61,45,DNF - 61,DNF - 61,557,435,54
USA,9084,Craig Cobbin,Jeff Holder,Black Rock Y C,42,[RET - 61],[RET - 61],DNC - 61,DNC - 61,DNC - 61,48,TLE - 52,49,DNF - 61,557,435,55
USA,9009,Ben Coker,Charlie Curtis,Davis Island Yacht Club,[RET - 61],[DNC - 61],RET - 61,RET - 61,44,41,DNC - 61,DNC - 61,46,DNF - 61,558,436,56
USA,7875,Ian O'Leary,Nat Burk,505 association,43,[RET - 61],[RET - 61],RET - 61,53,RET - 61,51,RET - 61,DNF - 61,RET - 61,574,452,57
USA,8207,Ole Eichhorn,Jotham Schwartz,SBYC,[DNF - 61],[DNC - 61],DNF - 61,RET - 61,DNC - 61,DNC - 61,RET - 61,RET - 61,53,DNF - 61,602,480,58
GBR,8435,Patrick Mcgale,Chris Pearson,Queen mary sailing club,[RET - 61],[RET - 61],RET - 61,DNC - 61,DNC - 61,DNC - 61,56,DNF - 61,DNF - 61,DNF - 61,605,483,59
GBR,9229,Michael Wilson,Phil Hardisty,Isle Of Man Yacht Club,[DNC - 61],[DNC - 61],DNC - 61,DNC - 61,DNC - 61,DNC - 61,DNC - 61,DNC - 61,DNC - 61,DNC - 61,610,488,60
