SAIL,NUMBER,Helm,Crew,CLUB/ORG,PRE-WORLDS - RACE 1,PRE-WORLDS - RACE 2,PRE-WORLDS - RACE 3,PRE-WORLDS - RACE 4,PRE-WORLDS - RACE 5,PRE-WORLDS - RACE 6,TOTAL,NET,Place
USA,9106,Mike Martin,Adam Lowry,StFYC,2,2,1,2,2,[10],19,9,1
USA,9248,Eric Anderson,Nic Baird,YCYC/SPYC/StFYC,[5],3,4,3,1,1,17,12,2
GBR,9253,Nathan Batchelor,Sam Pascoe,Tynemouth SC,1,4,5,1,[6],3,20,14,3
GBR,9215,Roger Gilbert,Ian Mitchell,Frensham Pond / Hayling Island,[11],1,2,11,9,4,38,27,4
USA,9160,Howard Hamlin,Jeff Nelson,NHYC,4,[13],6,6,5,6,40,27,5
USA,9072,Mike Holt,Carl Smit,Santa Cruz Yacht Club,[9],6,3,7,7,5,37,28,6
GBR,9238,Ian Pinnell,Alex Davies,Hisc,3,9,9,8,3,[12],44,32,7
USA,9240,A.J. Conrads,Rob Woelfel,Tahoe YC,[15],7,13,5,8,14,62,47,8
GER,9258,Alexander Holzapfel,Arne Wittemer,Post-Sportverein Koblenz,10,10,[16],4,13,13,66,50,9
GER,9260,Tim Böger,Finn Böger,HSC,13,8,[15],10,10,15,71,56,10
USA,9142,Malcom Higgins,Paul von Grey,PCYC,14,19,7,[25],12,8,85,60,11
USA,8786,Luke Ingalls,John Ingalls,Sakonnet YC,19,11,11,12,11,[22],86,64,12
USA,8681,Ryan Cox,Stuart Park,Ventura Yacht Club,8,12,[19],14,15,19,87,68,13
USA,8854,Craig Thompson,Adam Wolnikowski,Thompson Boat Works,22,16,10,[26],22,7,103,77,14
USA,9250,JB Turney,Jon Bell,Santa Barbara Yacht Club,[18],15,18,17,16,11,95,77,15
USA,9091,Ted Conrads,Reeve Dunne,Tahoe,7,17,22,27,[31],9,113,82,16
AUS,9210,Michael Quirk,Johannes Tellen,CNCB,6,5,[DNS - 61],9,4,DNS - 61,146,85,17
USA,9165,Pete Spaulding,Mike Radziejowski,.,24,18,12,15,18,[28],115,87,18
USA,9082,Jeff Miller,Matt Merchant,Santa Cruz YC,21,[28],8,18,24,26,125,97,19
POL,9145,Jakub Pawluk,Marcin Józefowski,Sailing Legia Warszawa,[33],22,26,13,29,16,139,106,20
