Country,,Helmsman,,,,Points,Place
FRA,,Blanchard,,,,192,1
FRA,,Pfaadt,,,,164,2
FRA,,Philippe Lécrit,,,,163,3
FRA,,Ehrhardt,,,,152,4
FRA,,Brengard,,,,141,5
FRA,,Guy de Restrepo,,,,129,6
FRA,,Metzger,,,,108,7
FRA,,Pagliano,,,,105,8
FRA,,Doerenbecher,,,,100,9
FRA,,Philippides,,,,98,10
FRA,,Stoll,,,,,11
FRA,,Ducep,,,,,12
FRA,,Hervouet,,,,,13
FRA,,Foucaud,,,,,14
FRA,,Moreau,,,,,15
FRA,,Erhard,,,,,16
FRA,,Zimmer,,,,,17
FRA,,Noël,,,,,18
FRA,,Strohmenger,,,,,19
FRA,,Forster,,,,,20
FRA,,Berthe,,,,,21
FRA,,Krebser,,,,,22
FRA,,Haas,,,,,23
FRA,,Schreiber,,,,,24
FRA,,Mme Galle,,,,,25
FRA,,Sturmer,,,,,26
FRA,,Waskonig,,,,,27
FRA,,Vitelli,,,,,28
FRA,,Wiedemann,,,,,29
FRA,,Feverhake,,,,,30
FRA,,Perrin,,,,,31
FRA,,Quellmalz,,,,,32
FRA,,Kuhn,,,,,33
FRA,,Richter,,,,,34
FRA,,Schutz,,,,,35
FRA,,Sittler,,,,,36
FRA,,Schirrer,,,,,37
FRA,,Gre,,,,,38
FRA,,Nowack,,,,,39
FRA,,Allain,,,,,40
FRA,,Engel,,,,,41
FRA,,Bock,,,,,42
FRA,,Carvallo,,,,,43
FRA,,Baillet,,,,,44
FRA,,Gorlitz,,,,,45
FRA,,Meier,,,,,46
FRA,,Seris,,,,,47
FRA,,Liquiere,,,,,48
FRA,,Bouvier,,,,,49
FRA,,Lasserre,,,,,50
FRA,,Le Gentil,,,,,51
FRA,,Deleau,,,,,52
FRA,,Schildkamp,,,,,53
FRA,,Ces,,,,,54
FRA,,Baudin,,,,,55
FRA,,Bornemann,,,,,56
FRA,,Schwebeln,,,,,57
FRA,,Milsant,,,,,58
FRA,,Schwab,,,,,59
FRA,,Kriel,,,,,60
FRA,,Bernard,,,,,61
FRA,,Minery,,,,,62
