Country,Boat no,Helm,Crew,Club,Race 1,Points,Place
FRA,5967,Georges Landry,Jean Landry,CNCRO,1,1,1
FRA,,Gérard Derché,Alain Derché,CVP,2,2,2
FRA,6279,Alain Doloy,Didier Rennesson,CVP,3,3,3
,,,,,,,4
,,,,,,,5
,,,,,,,6
,,,,,,,7
,,,,,,,8
,,,,,,,9
,,,,,,,10
,,,,,,,11
,,,,,,,12
