Country,Boat Number,Helm,Crew,Club,,,Place
FRA,,Philippe Boite,Canzano,,,,1
FRA,,Nedelec,Maury,,,,2
FRA,,Thibault Di Pède,Valles,,,,3
FRA,,Verroust,Baron,,,,4
FRA,,Veron,Veron,,,,5
FRA,,Bernard Oudard,Denis Oudard,,,,6
FRA,,Bernard Paternault,Denis Guiomard,,,,7
FRA,,Souvestre,Paternault,,,,8
FRA,,Mailou,Mailou,,,,9
FRA,,Boite,Hubier,,,,10
FRA,,Leclerc,Leclerc,,,,11
