Country,Boat number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,,Place
FRA,,Philippe Boite,Canzano,,,,,,,1
FRA,,Ces,Ces,,,,,,,2
FRA,,Bernard Paternault,Guiomard,,,,,,,3
FRA,,Hertel,Hertel,,,,,,,4
FRA,,Souvestre,Paternault,,,,,,,5
FRA,,Di Pede,Vallés,,,,,,,6
FRA,,Edouard Léger,Chaput,,,,,,,7
FRA,,Nedelec,Maury,,,,,,,8
FRA,,Bergerat,Bergerat,,,,,,,9
FRA,,Noël,Noël,,,,,,,10
