Country,Boat number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
FRA,,Philippe Boite,Canzano,,,,,,,1
FRA,,Georges le Troquer,E. Devaux,,,,,,,2
FRA,,Hamel,Hamel,,,,,,,3
FRA,,Paternault,Paternault,,,,,,,4
FRA,,Taillandier,Dautzenberg,,,,,,,5
FRA,,Pascal,Benon,,,,,,,6
FRA,,Pascal,Delorme,,,,,,,7
