Country,Boat number,Helm,Crew,Club,Race 1,Points,Place
FRA,,Marcel Buffet,Philippe Sérane,,,,1
FRA,,Gilbert Vinches,Conard,,,,2
FRA,,Derché,Yves Brézot,,,,3
FRA,,Bernard Oudard,Denis Oudard,,,,4
FRA,,Philippe Boite,Canzano,,,,5
FRA,,Robert Leibovitch,Roger,,,,6
FRA,,Christian Hauvette,Philippe Craplet,,,,7
FRA,,Taillandier,Dautzenberger,,,,8
FRA,,Sylvan Pellissier,Grenier,,,,9
FRA,,Gousset,Gousset,,,,10
FRA,,Le Gentil,Boukhetaia,,,,11
FRA,,Polve,Bidard,,,,12
