country,boat number,helm,crew,club,Race 1,Race 2,Race 3,Race 4,points,place
FRA,,Bernard Paternault,Denis Guiomard,,,,,,,1
FRA,,Mochou,,,,,,,,2
FRA,,Gilbert Vinches,Boudier,,,,,,,3
FRA,,Robert Leibovitch,Bisson,,,,,,,4
FRA,,Taillendier,Dautzenberg,,,,,,,5
FRA,,Souvestre,Paternault,,,,,,,6
FRA,,Bergerat,Bergerat,,,,,,,7
FRA,,Supplice,Leroy,,,,,,,8
FRA,,Fontaine,Siffert,,,,,,,9
FRA,,Chaffaux,Chaffaux,,,,,,,10
FRA,,Pascal,,,,,,,,11
FRA,,Legond,Legond,,,,,,,12
FRA,,Boudier,Boudier,,,,,,,13
FRA,,Bernard Oudard,Denis Oudard,,,,,,,14
FRA,,Noël,Noël,,,,,,,15
FRA,,Heurtault,,,,,,,,16
FRA,,Le Gentil,Boukhetjai,,,,,,,17
FRA,,Bereault,Bereault,,,,,,,18
FRA,,,,,,,,,,19
FRA,,Dumay,Moineau,,,,,,,20
