Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
FRA,,Jérôme Langlois,Alain Claudel,,,,,,,1
FRA,,Philippe Lécrit,Laffargue,,,,1,1,,2
FRA,6250,Yves Pottier,Bruno Reine,,,,,,,3
FRA,,François Fischer,Jean‑Pierre Cordonnier,,,,,,,4
FRA,,Marcel Buffet,Philippe Sérane,,,,,,,5
FRA,5464,Serge Guillaume,Darrigues,,,,,,,6
FRA,,Michel Christ,Jacques Chouraki,,,,,,,7
FRA,,Jaffrezic,Herve,,,,,,,8
FRA,5790,Robert Leibovitch,Massu,,,,,,,9
FRA,,Georges Landry,Jean Landry,,,,,,,10
FRA,6279,Alain Doloy,Campodarve,,,,,,,11
FRA,,Guy de Restrepo,Galle,,,,,,,12
FRA,,Sylvestre,Anne Delagrave,,,,,,,13
FRA,,Dumas,Chaubard,,,,,,,14
FRA,,David,Falque,,,,,,,15
FRA,,Dorée,Correard,,,,,,,16
FRA,,Gourmelin,Koch,,,,,,,17
FRA,,Dejean,Dejean,,,,,,,18
FRA,,Mirabello,Fabiano,,,,,,,19
FRA,,Treboz,Berthier,,,,,,,20
FRA,,Magnan,Magnan,,,,,,,21
FRA,,Jacques Raguet,Jean Franco Bertrand,,,,,,,22
FRA,,Gérard Derché,Alain Derché,,,,,,,23
FRA,,Mautin,Caille,,,,,,,24
FRA,,Bachmann,Dauer,,,,,,,25
FRA,,Girardin,Vesson,,,,,,,26
FRA,,Vinches,Conard,,,,,,,27
FRA,,Nadaud,Gaborit,,,,,,,28
FRA,,Levesque,Lepage,,,,,,,29
FRA,,Cavalie,Dabis,,,,,,,30
FRA,,Oudard,Oudard,,,,,,,31
FRA,,Carvallo,Laugerotte,,,,,,,32
FRA,,Ribadeau Dumas,,,,,,,,33
FRA,,Legond,Legond,,,,,,,34
FRA,,Le Gentil,Boukhetata,,,,,,,35
FRA,,Delprat,Peuch,,,,,,,36
FRA,,Gares,Aguilar,,,,,,,37
