Country,Boat number,Helm,Crew,Club,,,Place
FRA,,Philippe Boite,Canzano,,,,1
FRA,,Bernard Paternault,Denis Guiomard,,,,2
FRA,,Thibault Di Pède,Vallés,,,,3
FRA,,Nedelec,Maury,,,,4
FRA,,Veron,Veron,,,,5
FRA,,Thomasson,Lafortune,,,,6
FRA,,Desfond,Plonquet,,,,7
FRA,,Souvestre,Paternault,,,,8
FRA,,Taillandier,Dautzenberg,,,,9
FRA,,Hertel,Hertel,,,,10
FRA,,Bergerat,Bergerat,,,,11
FRA,,Le Vionnois,Bouchet,,,,12
FRA,,Fontaine,Siffert,,,,13
FRA,,Jamet,Jamet,,,,14
FRA,,Noël,Noël,,,,15
FRA,,Binon,Binon,,,,16
