Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Discard,Netto,Place
FIN,8056,,,,1*,1,1,1,1,1,6,1,5,1
FIN,8057,,,,2,2,2,3,4*,3,16,4,12,2
FIN,7781,,,,6,3*,5,2,3,2,21,6,15,3
FIN,7824,,,,5,7,9 dns*,4,2,4,31,9,22,4
FIN,8320,,,,4,4,4,6*,5,5,28,6,22,5
FIN,7809,,,,3,5,3,9 dns*,dns,dns,38,9,29,6
FIN,7699,,,,7*,6,6,5,6,7,37,7,30,7
FIN,8582,,,,9 dns*,8,7,7,7,6,44,9,35,8
