Nation,Vene,Kippari,Gasti,Seura,L1,L2,L3,L4,L5,L6,Pist.,Sija
FIN,7935,Pentti Matti,Toivanen Otto,HSK,1,[3],1,2,1,1,6,1
FIN,8746,Merikallio Hannu,Niemi Jarkko,HSK,2,[OCS],2,1,3,2,10,2
FIN,8053,Ebeling Petri,Heimsch Juhani,HSK,4,2,5,3,[6],6,20,3
FIN,8057,Lindfors Kaj,Halonen Johan,ASS,5,4,3,4,[13],5,21,4
FIN,7784,Held Thomas,Laiho Mike,BSS,3,10,4,6,2,[12],25,5
FIN,8056,Raita Raimo,Raita Antti,Vene 71,6,1,[8],5,7,8,27,6
FIN,7885,Mäkelä Jari,Lahti Tero,,8,5,[14],7,5,4,29,7
FIN,7824,Ikonen Erkka,Nurmela Juha,Vene 71,7,7,6,[8],8,3,31,8
FIN,7781,Hämäläinen Jussi,Vanninen Esko,KuoPS,9,6,9,10,4,[DNS],38,9
FIN,7809,Niemitalo Eero,Jurvela Harri,,[13],9,11,11,10,9,50,10
FIN,7699,Broo Jesper,Westerlund Joakim,ASS,10,[12],10,9,11,11,51,11
FIN,8405,Parviainen Lauri,Jääskeläinen Oskari,HSK,12,[14],12,12,9,7,52,12
FIN,8582,Parviainen Arno,Parviainen Sirkka,HSK,11,11,7,[14],14,10,53,13
FIN,8180,Maisniemi Kira,Tähtinen Mikko,HSK,16,13,13,13,12,[DNF],67,14
FIN,8320,Jore Antti,Rajamäki Teemu,TaPS,15,15,17,15,[DNF],13,75,15
FIN,7581,Nylund Mikael,Ekman Jan,WSF,14,8,16,[DNF],DNF,DNF,78,16
SWE,7956,Happonen Marko,,HSK,18,17,15,16,15,[DNF],81,17
FIN,8136,Dillemuth Matti,Manninen Jusa,,17,16,19,[DNS],DNS,DNS,92,18
FIN,7658,Wulff Nicke,,ASS,19,18,18,[DNF],DNF,DNF,95,19
