Nation,Boat NO,Helm,Crew,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,points,
GBR,8882,Pinnell Ian,Hunt Steve,GRANDE BRETAGNE,1,4,2,1,8,5,1,9,1
FRA,,Philippe Boite,Toupet Fabrice,C V DE MEAUX,3,2,1,3,2,1,11,9,2
SUI,,Stauffer Florian,Jacot Philippe,SUISSE,4,3,4,5,3,2,2,14,3
GBR,,Scutcher Terry,Diebitsch Christian,GRANDE BRETAGNE,2,1,3,2,7,DNF,DNF,15,4
GBR,8834,Short Russel,Short Andrew,GRANDE BRETAGNE,5,6,6,4,4,6,5,24,5
FRA,,Gallo Pierre Jean,Viateur Regis,CVSQ,6,7,9,7,5,7,4,29,6
GBR,8885,Lake Simon,Illiffe Ben,GRANDE BRETAGNE,7,5,5,6,15,19,DNF,38,7
FRA,,Martin Nicolas,Lafortune Julien,C V SEINE-PORT,13,DNF,DNF,16,6,4,9,48,8
FRA,,Puissant Jean-Guy,Broise Xavier,CV LAC 3 PROVINCES,14,12,11,10,9,16,8,50,9
FRA,,Noclain Philippe,Noclain Jean Pierre,C V VALENCIENNES,9,8,8,12,18,20,14,51,10
FRA,,Lasnier Gilles,Lasnier Laurent,Y C Sablettes,12,9,10,8,13,25,23,52,11
FRA,,Jeanne Muriel,Carvallo Gilles,C N HAUTE SEINE,15,11,7,13,12,13,10,53,12
FRA,,Philippe Lucienne,Lucienne Vivien,S.R.C Sud-Oise,8,13,15,11,16,8,17,55,13
FRA,,Muh Pierre,Keraudrenv Dominique,C.N. VIRY CHATILLON,20,10,14,9,20,11,13,57,14
FRA,,Silvestre Christian,Vallaud Christian,CVSQ,DNF,DNF,22,20,1,10,6,59,15
FRA,,Dupont Jean Baptiste,Gougeon Matthieu,CV PARIS,10,16,12,14,17,21,20,69,16
FRA,,Buffet Marcel,Chabaud Roger,CV PARIS,16,25,16,DNF,19,3,16,70,17
FRA,,Ferec Alain,Gillot Eric,S N P H,11,22,13,15,27,23,19,80,18
FRA,,Barbier Philippe,Barbier Guillaume,C N C ST OUEN,DNF,15,17,19,23,18,12,81,19
FRA,,Martenot Christian,Martenot Marie,C V SEINE-PORT,DNF,18,19,DNF,21,17,7,82,20
FRA,,Martin Aline,Lafortune Chloe,C V SEINE-PORT,DNF,21,18,23,14,15,15,83,21
FRA,,Philippe Blanchard,Charles Maire,A C D'ALSACE LORRAIN,DNF,DNF,DNF,DNF,11,12,3,92,22
FRA,,Lafortune Antoine,Lafortune Geraud,C V SEINE-PORT,21,24,DNF,DNF,10,22,21,98,23
FRA,,Pype Thomas,Delmotte Romain,C V VALENCIENNES,17,14,25,17,31,28,29,101,24
FRA,,Carvallo Samuel,Agrapart Franck,C N HAUTE SEINE,18,20,23,18,29,30,25,104,25
FRA,,Dupire Jean-Charles,Villette Michel,CNCR,DNF,17,20,21,26,24,26,108,26
FRA,,Boiry Michel,Lafortune Jordane,CV PARIS,22,DNF,DNF,DNF,28,9,18,110,27
FRA,,Condroyer Xavier,Matthieu Champenois,CV PARIS,19,19,24,22,32,31,28,112,28
FRA,,Armengaud Jacques,Armengaud Louis,Y C FRANCE,DNF,23,21,DNF,24,26,27,121,29
FRA,,Bernadac Laurent,Birgand Gabriel,S R VANNES,DNF,DNF,DNF,DNF,25,14,22,127,30
GBR,,Berry Jim,Branes David,GRANDE BRETAGNE,DNF,DNF,DNF,DNF,22,27,DNF,148,31
FRA,,Des Jamonieres Nicolas,Des Jamonieres Etienne,B N O,DNF,DNF,DNF,DNF,30,29,24,149,32
