Nation,Boat,Helm,Crew,Club,,Crew Club,Total,Place,,,,,
FRA,0,Guillaume Lecointre,Guillaume Holin,CVSQ,1,7,1,DSQ,1,2,CVSQ,12,1
FRA,0,Nicolas Martin,Julien Lafortune,C V SEINE-PORT,7,2,6,1,2,3,C V SEINE-PORT,14,2
FRA,0,Thomas Perrault,Antoine Jouan,C.V.S.A.,3,3,5,13,5,1,C.V.S.A.,17,3
FRA,0,Antoine Lafortune,Geraud Lafortune,C V SEINE-PORT,8,1,3,3,7,6,C V SEINE-PORT,20,4
FRA,0,Martin Peculier,Alexis Preel,S N O NANTES,4,6,2,5,3,7,C.V.S.A.,20,5
FRA,0,Xavier Broise,Paul Du Pavillon,CERGY VOILE 95,2,4,4,10,6,5,CV BOUCLES SEINE,21,6
FRA,0,Aline Martin,Chloe Lafortune,C V SEINE-PORT,6,8,7,9,4,10,C V SEINE-PORT,34,7
FRA,0,Thomas Jullien,Jordane Lafortune,CVSQ,12,12,10,2,9,4,C V SEINE-PORT,37,8
FRA,0,Arthur Herreman,Benjamin Thomas,S N P H,9,5,DNF,4,11,8,CERGY VOILE 95,37,9
FRA,0,Mathilde Geron,Basile Geron,C N DE PLERIN,5,10,17,8,8,9,S N P H,40,10
FRA,0,Come Lafortune,Guillaume Sabatier,C V SEINE-PORT,11,14,8,7,12,DNF,C V SEINE-PORT,52,11
FRA,0,Charlotte Abadie,Zoe Poncelet,S N O NANTES,DNF,13,9,11,13,11,V G A ST MAUR VOILE,57,12
FRA,0,Thomas Pype,Romain Delmotte,C V VALENCIENNES,10,9,12,15,17,12,C V VALENCIENNES,58,13
FRA,0,Virginie Screve,Julien Echivard,CVPA,15,11,11,14,10,13,CNA VOILE,59,14
FRA,0,Theophile Carpentier,Etienne Des Jamonieres,CV ST AUBIN ELBEUF,13,15,14,6,18,DNF,B N O,66,15
FRA,0,Louis Lafortune,Alexandre Sabatier,C V SEINE-PORT,16,17,16,12,14,14,C V SEINE-PORT,72,16
FRA,0,Louis Armengaud,Loan Dupont,C V SEINE-PORT,17,16,13,16,15,DNS,CN P LE HAVRE,77,17
FRA,0,Jean-Baptiste Kopecky,Matthieu Tiberghien,APCC VOILE SPORTIVE,14,18,15,17,16,DNF,APCC VOILE SPORTIVE,80,18
