Nation,,Club,,ligue,Race 1,Race 2,Race 3,Race 4,Race 5,Points,place
FRA,,Buffet Marcel,Jean-Baptiste Dupont,CV PARIS,1,1,1,1,2,4,1
FRA,,Ingrand Mathieu,Catrix Marie Agnes,YC Grenoble Chara.,2,2,3,2,3,9,2
FRA,,Novak Eugene,Hospital Jean-Louis,C N VAULX EN VELIN,DNC,DNC,2,3,1,12,3
FRA,,Finet Xavier,Finet Gaetan,C Y V GRAND LARGE,3,3,DNC,4,DNS,16,4
FRA,,Fraggi Maxime,Ellis Ronald,C Y V GRAND LARGE,4,4,4,5,DNF,17,5
