Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
FRA,7941,"Veronique Brenet","Jean-Pierre Peter",ACAL,3,2,1,2,1,9,,1
FRA,8484,"Philippe Blanchard","Charles Maire",ACAL,2,3,2,1,3,11,,2
FRA,8541,"Francis Doerenbecher","Aubin Doerenbecher",CNS,5,1,"DNF 11",3,4,24,,3
FRA,8449,"Bernard Pfeiffert","Didier Pfeiffert",,8,8,3,4,2,25,,4
GER,8625,"Alex Cross","Falko Braun",SCR,1,4,"DNF 11","DNC 11","DNC 11",38,,5
FRA,8362,"Bernard Edel","Canel Hodzig",ACAL,"DNC 11","DNC 11",4,5,"DNC 11",42,,6
GER,8772,"Ronald Roos","Kirsten Roos",SVWu,4,5,"DNC 11","DNC 11","DNC 11",42,,7
GER,8450,"Jürgen Feuerhake","Anne Nehrenberg",YCSb,8,8,"DNC 11","DNC 11",0,38,,8
GER,8530,"Alexander von Mertens","Pia Wiesbauer",StSC,7,7,"DNC 11","DNC 11","DNC 11",47,,9
GER,8415,"Elmar Neugart","Jürgen Girhe",SZHB,9,9,"DNC 11","DNC 11","DNC 11",51,,10
