#,sternik,załogant,Klub,Wyścig 1,Wyścig 2,Wyścig 3,Wyścig 4,Wyścig 5,Suma punktów,Miejsce
POL 9132,Przemek Zagórski,Michał Olko,YK Stal Gdynia,2,1,1,1,0*,5,1
POL 8802,Dominik Ostrowski,Jan Siekierzyński,SWOS Warszawa,1,0*,2,3,1,7,2
POL 8736,Adam Kuczyński,Andrzej Borowiak,ŻMKS Poznań,5,2,0*,2,2,11,3
POL 8909,Jan Domański,Kacper Kaczmarek,KPMG Sailing Team,3,6,3,4,0*,16,4
POL 8493,Mieczysław Szwed,Piotr Kosobucki,Centrum Żeglarskie Szczecin,0*,4,4,5,4,17,5
POL 8437,Piotr Rzepecki,Paweł Prus,YKP Warszawa,6,3,0*,7,3,19,6
POL 8483,Mariusz Michalski,Piotr Duma,YK Stal Gdynia,4,5,0*,6,5,20,7
POL 8665,Marcin Panek,Konrad Plewa,YK Stal Gdynia,8,8,6,0*,6,28,8
POL 11,Jerzy Plewa,Monika Kapitan,,0*,9,9,10,8,36,9
POL 8358,Maciej Goździk,Przemysław Iwanek,,10,DNF*,DNF,9,9,52,10
POL 9015,Mateusz Żolnierkiewicz,Igor Graczyk,ŻMKS Poznań,9,DNS*,DNS,DNS,DNS,57,11
