POL #,helm,crew,club,1,2,3,4,sum,place,,
POL 9170,Karol Milewski,Bartosz Milewski,YKP Stal Gdynia,1,1,ret*,6,8,1
POL 8736,Adam Kuczyński,Andrzej Borowiak,ZMKS Poznan,3,6*,4,1,8,2
POL 8909,Jan Domański,Konrad Małachowski,KPMG Sailing Team,5*,2,3,3,8,3
POL 9119,Mateusz Jura,Bartosz Chroł,AZS SGH Warszawa,7*,7,1,2,10,4
POL 8145,Jakub Kozanko,Michał Wdówka,Ericsson Ericpol,2,5,6*,5,12,5
POL 7942,Anna Zabłocka,Michał Prończuk,ZLKS PW,8*,4,5,4,13,6
POL 8437,Ewa Szyfter,Kacper Kaczmarek,AZS Poznan,9,3,2,ocs*,14,7
POL 9023,Sławomir Plichta,Piotr Juckiewicz,,4,9,dsq*,7,20,8
POL 8358,Maciej Goździk,Karol Bronicki,,11,8,7,ocs*,26,9
POL 9132,Przemek Zagórski,Michał Olko,YKP Stal Gdynia,6,dns*,dns,dns,30,10
POL 8551,Andrzej Kubiak,Marek Milewski,Navigare,10,dns*,dns,dns,34,11
