Sail,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,Brutto,Netto,Place
FIN 8678,Tatu Miettinen,Ville Tarvo,LPS,(3),1,2,1,3,1,11,8,1
FIN 9212,Thomas Held,Juha Nurmela,BSS,(5)DNF,2,1,2,2,2,14,9,2
FIN 8053,Petri Ebeling,Juhani Heimsch,HSK,1,2,3,(4),1,3,15,11,3
FIN 8466,Hannu Pöyry,Ari Dillemuth,VVK,2,(4),4,5,4,4,21,17,4
