SUI,Ident,Concurrents,Club,Pays,c.1,c.2,c.3,c.4,c.5,c.6,Pts_Ret,Pts_tot,Rgs
SUI,8729,Caroline Jacot,Phillipe Jacot,CMB,1,1,1,1,5,2,11,11,1
SUI,8096,Brasey,Burri,CNM,2,2,3,2,1,4,14,14,2
SUI,8569,Betschen,Ducommun,CNB,4,3,2,3,3,3,18,18,3
SUI,8636,Othmar Zoller,Daniela Zoller,SNC,3,4,4,4,4,1,20,20,4
SUI,6969,Axel Meyer,Benedict Devaud,SNG,5,5,5,5,2,5,27,27,5
SUI,4961,Schoettker,Klipfel,SNR,8,6,6,6,7,6,39,39,6
SUI,8426,Feller,Merillat,ZYC,6,7,7,7,6,7,40,40,7
SUI,8346,Soler,Gaume,SNG,7,8,DNF,DNS,8,8,51,51,8
SUI,7825,Boppe,Boppe,CNV,DNF,DNS,DNS,DNS,DNS,DNS,60,60,DNA
