Nat,Sail Number,Helm Name,Crew Name,Club,R1 1 Oct,R2 1 Oct,R3 1 Oct,R4 3 Oct,R5 3 Oct,Total,Nett,Rank
GBR,9215,Roger Gilbert,Ben McGrane,Netley,1,2,-5,2,1,11,6,1st
GBR,903*,Nathan Batchelor,Sam Pascoe,Tynemouth SC,2,-6,1,3,6,18,12,2nd
GBR,9238,Ian Pinnell,Tom Pickles,Hayling Island SC,7,4,3,(16.0 DNF),2,32,16,3rd
GBR,9093,Alex Barry,Harry Briddon,Ogston Sailing Club,4,5,8,-10,3,30,20,4th
GBR,9214,Andy Smith,Stewart Mears,Notts county sc,-12,7,4,4,5,32,20,5th
GBR,8935,Michael Sims,Richard Nurse,Carsington,6,3,-11,6,7,33,22,6th
FRA,9220,Philippe Boite,Marin Carnot,CVSQ,(16.0 UFD),8,6,5,4,39,23,7th
GBR,9180,Mark Upton-Brown,Ian Mitchell,HISC/Bosham,8,1,7,8,-9,33,24,8th
GBR,8970,Stuart Bithall,Simon Hiscocks,,3,10,2,9,(16.0 DNC),40,24,9th
GER,9169,Tim Boeger,Finn Boeger,HSC,5,-12,9,7,8,41,29,10th
FRA,9045,Merue de Kergariou,Tim Bird,C N Arradon,10,-13,13,12,10,58,45,11th
GBR,9158,Duncan Barr,Jeremy Troughton,Netley,13,11,10,13,(16.0 DNC),63,47,12th
AUS,9134,Michael Quirk,Tim Needham,RPEYC,(16.0 DNC),16.0 DNC,16.0 DNC,1,16.0 DNC,65,49,13th
GBR,9179,Tudor Owen,Drystan Harnett,Minnis Bay sailing club,9,9,(16.0 DNC),16.0 DNC,16.0 DNC,66,50,14th
FRA,9219,Elisabeth Neidhart,Pierre Jean Gallo,YCIF,11,(16.0 DNF),12,11,16.0 DNC,66,50,15th
