Nation,Boat,Helm,Crew,Club,Race 1,Points,Place
AUS,0,Jim Hardy,Max Whitnall,,,,1
DEN,0,Paul Elvstrøm,Malcolm 'Pip' Pearson,,,,2
AUS,0,John B. Cuneo,A. Martin,,,,3
