Nation,Sail number,Skipper,Crew,Club,Race 1,Points,Position
RSA,7722,I Gibbons,,,,,1
RSA,8584,N Milln,,,,,2
RSA,7457,T Funke,,,,,3
RSA,8019,S Kuhn,,,,,4
RSA,7682,P Willcox,,,,,5
RSA,8406,R Holm,,,,,6
RSA,8520,P Bennett,,,,,7
RSA,7290,T Murray,,,,,8
RSA,8587,B Crisp,,,,,9
RSA,8121,A Holm,,,,,10
RSA,7278,T Fisher,,,,,11
RSA,7525,M McCrystal,,,,,12
