Nation,Sail number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
RSA,8340,Graeme,Alan,,1,,,,,1,1
RSA,7457,Phil,Mark,,5 DNF,,,,,10,2
RSA,8406,Rudolph,Rick,,5 DNF,,,,,12,3
RSA,8121,Albrecht,Warwick,,5 DNF,,,,,14,4
