Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,points,Place
FRA,3100,Marcel Troupel,Philippe Lanaverre,CV  Bordeaux,1,6,4,16,3,2,'Rififi',28.4,1st
FRA,2767,Yves Pajot,Marc Pajot,CV La Baule,3,3,7,5,2,9,'Leopard',39.7,2nd
FRA,2940,Marcel Buffet,Daniel Nottet,CV Paris,2,1,26,6,6,16,'Ya Za',48.4,3rd
FRA,3032,D.Farrant,R.Farrant,Hastings SC,dsq,17,5,2,5,15.67.,'Miss VI',,4th
SWE,3036,C.Bath,P.Bath,Gothenburg YC,dnf,16,1,8,26,1,'Kalabalik',68,5th
FRA,2907,,,,dsq,7,13,11,11,4,,74,6th
GBR,2626,R. Hughes,,,14,2,dnf,12,21,7,L. Marks,82,7th
