Nation,Boat NO,Skipper,Crew,,,,Points,Place
USA,8600,Ki Kaiser,John Badtke,,,,9,1
CAN,7605,Renka Gesing,Adam Gesing,,,,9,2
USA,7685,Graham Alexander,Brian Richmond,,,,9,3
USA,8624,Dave Stetson,Geoff Cashman,,,,10,4
USA,,Jim Tuten,Nathan Brown,,,,21,5
USA,,Allan Brown,Joe Stoodley,,,,25,6
USA,,Jim Colegrove,Charlie Roy,,,,25,7
USA,,Phil Terman,Sue Gilles,,,,27,8
