Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Place
USA,8680,Bruce Edwards,David Shelton,,1,1,1,2*,1,4,1
USA,7875,Jeff Miller,Jim Wondoleck,,2*,2,2,1,2,7,2
USA,7873,Ellen Ablow,Alan Norman,,8*,3,5,3,4,15,3
CAN,8681,Robin Brown,Rich Meendell,,3,8*,3,4,5,15,4
USA,7096,Bryon Largay,Matt Sanders,,4,4,7*,5,7,20,5
USA,,Nick Adamson,Ben Benjamin,,7,5,6,16*,3,21,6
USA,7201,Bob Little,Graham Sheltor,,5,6,4,7,8*,22,7
USA,8411,Paul Kerner,Bruce Tilley,,6,7,16*,9,6,28,8
USA,8576,Bob Noyes,Bill Beardlee,,10,10,16*,10,9,39,9
USA,7877,Steve Andreas,Bruce Fleming,,16*,9,16,6,10,40,10
USA,,Doug Hagen,Kirk Wilson,,16*,11,8,11,11,41,11
USA,6983,Eric Willis,Wendy Herzberg,,11,16*,16,8,12,46,12
USA,6932,Ashley Tobin,Jim Walters,,9,16*,16,16,16,54,13
USA,,Ted Nordquist,Leighton Richardson,,16*,16,16,16,16,60,14
