Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Place
USA,7771,Howard Hamlin,Mike Martin,,2,1,2,4,1,1,11,1
USA,0,Jeff Miller,Jim Maloney,,1,2,1,1,3,3,11,2
USA,0,Andy Beeckman,Ben Benjamin,,3,4,4,5,7,5,28,3
CAN,0,Robin Brown,Rich Mundell,,9,6,5,3,5,4,32,4
USA,0,Daniel Thompson,Andrew Zinn,,6,5,3,8,4,8,34,5
USA,0,Thad Lieb,Rob Waterman,,5,7,8,7,10,6,43,6
USA,7873,Larry Tuttle,Alan Norman,,4,3,6,6,9,16,44,7
USA,0,Johan Bäcksin,Mike Smith,,7,9,7,10,6,7,46,8
GBR,0,Bruce Edwards,David Shelton,,16,16,16,2,2,2,54,9
USA,0,Bryan Largay,Matt Sanders,,8,8,9,16,12,10,63,10
USA,0,Steve Anderes,Bruce Fleming,,10,10,11,11,13,11,66,11
USA,0,Bob Noyes,Bill Beardslee,,16,16,16,9,8,9,74,12
USA,0,Scott Slater,Per Jacobson,,11,16,10,12,11,16,76,13
USA,6983,Eric Willis,David Byron,,12,12,13,13,14,16,80,14
USA,0,Chuck Allan,Kirk Wilson,,16,11,12,16,16,16,87,15
