Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Boat Name,Points Total,Points Netto,Place,,Helm,Crew
USA,6291,Tim Moser,Jason Clark,,3,1,1,1,,2,1,,,,1,,,
USA,,Paul von Grey,Peter,,1,2,2,2,2,1,3,,,,2,,,
USA,,Peter,Alan,,2,3,3,,1,,2,,,,3,,,
USA,,John Dean,Alden Riley,,,,,3,3,3,,,,,,,,
USA,,Sue,Alexis,,,,,,,,,,,,,,,
USA,,Doug Jensen,,,,,,,,,,,,,,,,
