Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Points,PLACE
USA,7771,Howard Hamlin,Mike Martin,,OCS,1,1,16,1
USA,8411,Andy Beeckman,Bruce Tilley,,1,2,OCS,17,2
USA,8680,Bruce Edwards,David Shelton,,OCS,4,2,20,3
USA,7096,Bryan Largay,Matt Sanders,,OCS,3,3,20,4
USA,7201,Daniel Thompson,Trevor Barnabus,,OCS,7,4,25,5
USA,7877,Steve Anderes,Bruce Fleming,,OCS,5,6,25,6
USA,7066,John Broome,,,OCS,9,7,30,7
USA,6932,Ashley Tobin,Jim Walters,,OCS,8,9,31,8
USA,7611,Steve Smith,Craig Perez,,OCS,10,8,32,9
USA,0,Nick Adamson,Ben Benjamin,,OCS,DNF,5,33,10
USA,7873,Ellen Ablow,Alan Norman,,OCS,6,OCS,34,11
USA,6983,Wendy Herzberg,Eric Willis,,OCS,11,10,35,12
USA,7156,Kirk Wilson,Chuck Allan,,OCS,12,11,37,13
