Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Pts,Place
USA,7771,Mike Martin,Howard Hamlin,,1,1,3*,1,3,6,1
USA,8680,Bruce Edwards,,David Shelton,2,4*,1,2,1,6,2
USA,0,Jim Maloney,Jeff Miller,,4*,3,2,3,2,10,3
USA,8411,Bruce Tilley,Andy Beeckman,,6,5,5,4,19 DNF*,20,4 tie
CAN,8681,Robin Brown,Rich Mundell,,5,6,8*,5,4,20,4 tie
USA,7153,Carisa Harris,Alex Mehran,,8,9*,6,9,5,28,6
USA,7201,Daniel Thompson,Andrew Zinn,,3,2,7,19 DNS*,19 DNF,31,7
USA,0,Nick Adamson,Ben Benjamin,,19 DNF*,19 DNF,4,6,6,35,8
USA,7873,Ellen Ablow,Alan Norman,,7,7,19 DNS*,7,19 DNF,40,9
USA,7096,Bryan Largay,Matt Sanders,,9,15,9,10,19 DNF*,43,10
USA,7877,Steve Anderes,Bruce Fleming,,11,11,11,12,19 DNS*,45,11
,0,John Haley,Per Jacobson,,10,10,10,19 DNF*,19 DNS,49,12
USA,0,Aaron Ross,Greg Sorrells,,14,13,12,13,19 DNF*,52,13
USA,7156,Douglas Hagan,Kevin Hagen,,13,12,19 DNS*,14,19 DNS,58,14
CAN,7095,Ian Plumbley,Tom Burnard,,12,19 DNF*,19 DNF,11,19 DNF,61,15
USA,0,Chris Kline,David Byron,,19 DNS*,19 DNS,19 DNF,8,19 DNF,65,16 tie
USA,7359,Gary Ruggles,Greg Gump,,19 DNF*,8,19 DNS,19 DNS,19 DNF,65,16 tie
USA,6230,Paul von Grey,Paul Shipley,,19 DNS*,14,19 DNS,19 DNF,19 DNF,71,18
