Nation,Boat,Helm,Crew,Boat,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Place
USA,7771,Mike Martin,Howard Hamlin,Team McLube,1,1,1,1,1,5,1
USA,8680,David Shelton,Bruce Edwards,Viva Goadtitas,2,2,3,4,3,14,2
USA,0,Jim Maloney,Jeff Miller,,3,3,2,2,5,15,3
USA,8554,Steven Bartz,Andy Beeckman,,4,7,8,3,4,26,4
USA,8266,Ben Benjamin,Nick Adamson,Road Rash,7,6,7,6,2,28,5
USA,7873,Alan Norman,Larry Tuttle,,6,4,4,8,8,30,6
CAN,8681,Rich Mundell,Robin Brown,Dog Lips II,5,9,6,5,6,31,7
USA,0,Bruce,Paul,,8,5,5,9,7,34,8
USA,0,Bruce,Steve,,9,13,9,10,9,50,9
USA,0,Erich,Craig,Make My Day,10,8,11,14,13,56,10
USA,0,Kirk,Doug,,11,13,DNC,13,10,63,11
USA,0,Matt,Brian,Punishment Pony,DNC,DNC,DNC,7,DNC,71,12
USA,0,Wendy,Eric,,DNC,DNC,DNC,12,11,71,13
USA,0,Jim,Ashley,,DNC,DNC,DNC,11,12,71,14
USA,0,Ted,Craig,,13,13,DNC,15,14,71,15
