Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Points,Place
USA,8645,Jim Englert,Thad Melton,,1,1,1,3,1
USA,8012,Henry Amthor,Douglas Amthor,,4,3,2,9,2
USA,8191,Macy Nelson,Alan Freedman,,2,5,3,10,3
USA,6985,Dylan Breton,Mike Breton,,3,4,5,12,4
USA,8643,Barney Harris,Jesse Falsone,,5,2,6,13,5
USA,8351,Tom Price,,,6,6,4,16,6
USA,8438,John Wyles,Dennis Burroughs,,8,7,7,22,7
USA,8058,Mark Freedman,Les Crane,,7,8,8,23,8
USA,7776,Bob O'Brien,Betsy O'Brien,,DNF,9,DNS,29,9
