Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Netto,Place
GER,8903,Boris Herrmann,Julien Kleiner,ZSK,1,1,2,5,9,,1
GER,8775,Alexander Holzapfel,Carsten Engel,PSVK,5,4,10,3,22,,2
GER,8915,Hasso Plattner,Peter Alarie,KYC,3,8,7,4,22,,3
GER,8672,Karsten Contag,Guido von Walter,SCLW,10,6,5,6,27,,4
GER,8625,Alex Cross,Falko Braun,SCR,6,5,8,9,28,,5
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,13,3,11,7,34,,6
GER,8693,Michael Daisenberger,Florian Lautenschläger,DTYC,8,7,6,8,29,,7
GER,8621,Stephan Schweiger,Thorsten Koch,SCLW,4,9,13,10,36,,8
GER,8725,Markus Maisenbacher,Lars Kruse,WVH,9,10,4,12,35,,9
GER,8769,Nathalie Friedrich,Claudius Zeiler,SCLW,11,13,9,20,53,,10
GER,8522,Thomas Wieting,Hannes Lehning,WVH,12,12,27,11,62,,11
GER,8807,Morten Bogacki,Wolfgang Bogacki,DYC,DNC 39,DNC 39,1,2,81,,12
GER,8519,Robert Wisolek,Nette Jansen,SCLW,21,11,15,16,63,,13
GER,8861,Hans-Otto Frisch,Timo Klapper,SCLW,15,14,23,13,65,,14
GER,8728,Meike Schomäker,Rainer Görge,ZSK,DNC 39,DNC 39,3,1,82,,15
GER,8580,Michael Seeger,Andreas Achterberg,DTYC,2,2,DNC 39,DNC 39,82,,16
GER,8642,Thoralf Greger,Christoph Klein,ASVG,14,15,17,15,61,,17
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,16,27,12,18,73,,18
GER,8873,Peter Heimbeck,Nils Burghard,SCLW,17,23,19,14,73,,19
GER,8663,Benjamin Grosskurth,Johannes Schmederer,SCLW,DNF 39,19,14,22,94,,20
GER,8475,Johannes Berggren,Göran Berggren,SCLW,18,18,26,19,81,,21
GER,8518,Klaus Eifler,Lars Dehne,SCLW,19,24,18,DNC 39,100,,22
GER,8562,Wolfgang Seifert,Ivonne Seifert,SCLW,7,16,DNC 39,DNC 39,101,,23
GER,7921,Jochen Heydolph,Eckhard Busch,SCLW,24,17,22,24,87,,24
GER,8388,Peter Wolffram,Stephan Ottenschläger,,23,21,35,21,100,,25
GER,7661,Christina Höll,Alexander Wilhelm,HSC,28,22,20,25,95,,26
GER,8530,Alexander von Mertens,Pit Trommer,StSC,26,29,25,17,97,,27
GER,8702,Martin Handel,Peter Wackerbauer,SGK,22,20,31,26,99,,28
GER,8546,Dirk Hänsgen,Frank Rupprich,SVPB,25,25,21,23,94,,29
GER,8527,Hartmut Weiß,Volker Weiß,SCLW,20,26,28,27,101,,30
GER,8730,Enno Wilts,Jan Wiechmann,SVBB,27,28,24,29,108,,31
GER,8777,Melanie Tschiche,Francisco Sanguino,SCHC,29,30,32,28,119,,32
GER,8697,Wilfried Stuis,Michael Denner,YCN,33,31,29,31,124,,33
GER,8463,Frieder Achterberg,Arne Lanatowitz,DTYC,DNC 39,DNC 39,16,DNF 39,133,,34
GER,4601,Guillaume Catho,Jan-Baptiste Cornefert,CNL,31,33,33,30,127,,35
GER,7978,Alexandra Wahler,Michael Kramer,,32,32,34,32,130,,36
AUT,8482,C. Pirker,Achim Funk,SCLW,30,DNF 39,30,DNF 39,138,,37
GER,8204,Ingo Schneider,Sebastian Hoering,SCLW,DNF 39,34,36,33,142,,38
