Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6",Brutto,Netto,Place
GER,8916,"Stefan Köchlin","Axel Priegann",SKF,1,1,1,1,1,1,6,,1
GER,8669,"Tim Böger","Markus Schöner",HSC,2,5,2,2,2,3,16,,2
GER,8563,"Stefan Schmidt","Jens Lücke",SVSS,5,7,4,6,4,2,28,,3
GER,8940,"Martin Kittsteiner","Oliver Stieglitz",HSC,8,9,3,3,3,4,30,,4
GER,8758,"Christian Maier-Kothe","Holger Jess",KYC,4,2,5,5,"OCS 16",6,38,,5
GER,6816,"Andreas Jungclaus","Bruno Laudage",HSC,6,4,6,4,6,7,33,,6
GER,8433,"Jürgen Anton","Karsten Morf",HSC,9,3,7,7,5,5,36,,7
GER,8468,"Ulrich Müller-Menzel","Maren Müller-Menzel",WSRM,3,8,8,8,10,"DNF 16",53,,8
GER,8500,"Christian Henge","Matthias Fedde",OSG,7,8,9,14,7,8,53,,9
GER,8098,"Nicholas Melzwig","Michaela Melzwig",LRV,11,10,10,10,9,12,62,,10
GER,7732,"Iris Anton","Birgit Hartmann",HSC,10,13,13,13,8,9,66,,11
GER,7861,"Henning Ries","Katharina Menge",TSVS,13,15,11,9,14,10,72,,12
GER,8730,"Enno Wilts","Jan Wiechmann",SVBB,14,12,12,13,12,11,74,,13
GER,8370,"Karsten Stümpel","Ute Stümpel",HSC,12,11,"DNC 16","DNC 16",11,13,79,,14
GER,8570,"Dierk Möller","Britta Knöller",WSCW,15,14,14,12,13,"DNF 16",84,,15
