Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8728,"Wolfgang Hunger","Rainer Görge",PYC,9,2,5,1,2,19,,1
GER,8807,"Morten Bogacki","Wolfgang Bogacki",DYC,3,1,4,2,6,16,,2
GER,8916,"Stefan Köchlin","Axel Priegann",SKF,2,3,9,7,1,22,,3
GER,8901,"Nicola Birkner","Wolfgang Stückl",SVaW,5,"OCS 33",1,4,3,46,,4
GER,896,"Lutz Patrunky","Holger Jess",VSaW,4,5,3,6,4,22,,5
GER,8806,"Lutz Stengel","Anja Thiess",ROYC,7,4,6,5,5,27,,6
GER,8904,"Jan Forster","Marcus Neuß",SGaM,1,7,16,3,25,52,,7
GER,8721,"Malte Christophersen","Sebastian Salein",KAR,6,"OCS 33",2,8,18,67,,8
GER,8625,"Alex Cross","Falko Braun",SCR,10,13,11,10,7,51,,9
GER,8580,"Frieder Achterberg","Angela Stenger",DTYC,16,8,7,11,13,55,,10
GER,8563,"Stefan Schmidt","Jens Lücke",SVSS,12,10,10,16,12,60,,11
GER,8599,"Florian Duwe","Marc Helms",TSC,14,17,21,9,8,69,,12
GER,8750,"Gunter Peters","Steffen Achenbach",,13,9,19,18,10,69,,13
GER,8720,"Lennart Tasche","Frederik Tasche",WSVG09,18,20,12,14,9,73,,14
GER,8775,"Carsten Engel","Tobias Neumeyer",PSVK,23,12,18,13,11,77,,15
GER,8550,"Martha Hauschild","Daniel Wehden",SCS,11,14,25,15,15,80,,16
GER,8530,"Alexander von Mertens","Sebastian Dörr",StSC,20,11,20,12,14,77,,17
GER,8880,"Christian Kellner","Robert Rothe",HSC,8,6,8,"DNC 33","DNC 33",88,,18
GER,8929,"Jürgen Waldheim","Martin Maal",PYC,17,15,13,19,16,80,,19
GER,6816,"Andreas Jungclaus","Hartwig Friedrichs",HSC,15,23,17,20,17,92,,20
POL,8358,"Marcin Jozefowski","Jacek Barankiewcz",,28,21,15,17,22,103,,21
GER,8712,"Siegfried Labenz","Christian Labenz",SVWu,22,24,14,22,20,102,,22
POL,8416,"Przemek Zagorski","Piotr Juckiewicz",SKZ,19,19,22,24,30,114,,23
GER,8634,"Tomasz Frydrychowicz","Gerrit Haaland",,21,22,23,21,21,108,,24
GER,8392,"Konrad Barop","Daniel Zenker",RSV,27,18,26,26,19,116,,25
GER,8533,"Roger Bussenius","Robert Bussenius",SCOH,25,16,27,25,24,117,,26
GER,8458,"Helmut Madeheim","Jens Krause",PBYC,26,26,24,27,23,126,,27
GER,8365,"Andreas Lehmann","Robert Hanke",VsAW,24,25,28,23,"DNC 33",133,,28
GER,7528,"Uwe Sievers","Clemens Köhler",PYC,29,28,29,28,27,141,,29
GER,6817,"Ralf Schneidewind","Lars Hradetzki",KSC,30,27,30,"DNC 33",26,146,,30
GER,7946,"Jana Weißbach","Jens Friedrich",,31,"DNC 33","DNC 33",30,26,153,,31
GER,8598,"Katinka Haslinger","Udo Wilters",MRSV,"DNC 33","DNC 33","DNC 33",29,29,157,,32
