Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Brutto,Netto,Place
GER,8693,Michael Daisenberger,Michaela Rustemeyer,DTYC,3,1,4,4,1
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,2,2,4,4,2
GER,8672,Karsten Contag,Guido von Walter,SCLW,1,4,5,5,3
GER,8769,Nathalie Friedrich,Claudius Zeiler,SCLW,4,8,12,12,4
GER,8562,Wolfgang Seifert,Christian Voggeser,SCLW,6,6,12,12,5
GER,8621,Stephan Schweiger,Thorsten Koch,SCLW,10,3,13,13,6
GER,8519,Robert Wisolek,Nette Jansen,SCLW,7,7,14,14,7
GER,7921,Jochen Heydolph,Thomas Holik,SCLW,5,11,16,16,8
GER,8663,Benjamin Grosskurth,Johannes Schmederer,SCLW,12,5,17,17,9
GER,8642,Claas Lehmann,Matthias Pfister,NRV,8,1,9,9,10
GER,8873,Peter Heimbeck,Nils Burghard,SCLW,9,9,18,18,11
GER,8475,Göran Berggren,Christina Berggren,SCLW,11,13,24,24,12
GER,8518,Klaus Eifler,Thomas Thym,SCLW,13,12,25,25,13
GER,8697,Wilfried Stuis,Benjamin Lasnier,YCN,14,14,28,28,14
GER,8527,Hartmut Weiß,Volker Weiß,SCLW,15,15,30,30,15
GER,8598,Katinka Haslinger,Udo Wilters,MRSV,16,DNF 17,33,33,16
