Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Brutto,Netto,Place
FRA,8484,Philippe Blanchard,Charles Maire,ACAL,2,1,1,1,5,10,,1
GER,8772,Ronald Roos,Kirsten Roos,SVWu,1,3,2,3,2,11,,2
GER,8625,Alex Cross,Falko Braun,SCR,3,5,4,2,1,15,,3
GER,8327,Dirk Frank,Stefan Kempf,SCS,4,2,9,4,3,22,,4
GER,8670,Gerhard Engel,Renita Engel,YCSB,9,6,3,5,6,29,,5
GER,8530,Alexander von Mertens,Martin Maal,StSC,7,4,5,7,4,27,,6
GER,8450,Jürgen Feuerhake,Margit Falk,YCSb,6,7,8,6,7,34,,7
FRA,8820,Robert Lehmann,Bernard Edel,ACAL,5,8,6,8,8,35,,8
GER,8114,Michael Becker,Florian Hassdenteufel,SCNS,8,10,7,9,9,43,,9
GER,8874,Detlef Nill,Moritz Nill,YCSB,10,9,11,10,11,51,,10
GER,8424,Claus-Michael Lehr,Christine Schaal-Lehr,SCNS,12,13,10,11,10,56,,11
GER,7989,Theo Kohl,Birgit Kohl,WWSC 70,14,12,12,12,12,62,,12
GER,5597,Anne Nehrenberg,Christoph Klein,SCBo,13,11,13,OCS 15,13,65,,13
GER,7978,Alexandra Wahler,Michael Kramer,,11,DNF 15,DNC 15,DNC 15,DNC 15,71,,14
