Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Netto,Place
GER,8686,Christian Niefert,Axel Priegann,BSV,2,2,1,1,6,,1
GER,8927,Martin Görge,Hans-Heinrich Rix,TSVS,1,1,2,2,6,,2
GER,8563,Stefan Schmidt,Jens Lücke,SVSS,7,4,3,3,17,,3
GER,8418,Jan Sell,Wiebke Gewinn,TUSF,4,7,4,4,19,,4
GER,8662,Jan Stölken,Matthias Brühl,SCU,5,5,5,5,20,,5
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,6,6,6,9,27,,6
GER,8744,Lutz Kandzia,Henrik Redelstroff,ASV,14,9,8,6,37,,7
GER,8758,Christian Maier-Kothe,Ole Rasschdorf,KYC,8,3,DNF 16,7,34,,8
GER,8376,Sven Dömges,Andreas Happich,ESV86,11,10,9,8,38,,9
GER,8433,Jürgen Anton,Ulf Denecke,HSC,9,13,7,DNF 16,45,,10
GER,8875,Charlotte Jäckel,Johannes Tellen,,3,8,DNF 16,DNF 16,43,,11
GER,7732,Iris Anton,Birgit Hartmann,HSC,12,11,11,DNF 16,50,,12
GER,8730,Enno Wilts,Jan Wiechmann,SVBB,15,12,10,DNF 16,53,,13
GER,388,Stephan Ramm,Michael Erhard,NRV,13,14,DNF 16,DNF 16,59,,14
GER,8480,Marc Köster,Christoph Köster,BSV-AT,10,DNF 16,DNF 16,DNF 16,58,,15
