Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2",Brutto,Netto,Place
GER,8693,"Michael Daisenberger","Florian Lautenschläger",DTYC,2,1,3,3,1
GER,8901,"Julian Stückl","Wolfgang Stückl",DTYC,1,2,3,3,2
GER,8903,"Stephan Schweiger","Thorsten Koch",SCLW,3,3,6,6,3
GER,8928,"Hendrik Schultz","Ute Oberländer",SCLW,4,4,8,8,4
GER,8519,"Robert Wisolek","Göran Berggren",SCLW,5,5,10,10,5
GER,8672,"Karsten Contag","Christian Schönbach",SCLW,7,6,13,13,6
GER,8580,"Frieder Achterberg","Andreas Achterberg",DTYC,6,8,14,14,7
GER,8663,"Benjamin Grosskurth","Johannes Schmederer",SCLW,8,7,15,15,8
GER,8507,"Christina Höll","Alexander Wilhelm",HSC,9,1,10,10,9
GER,8621,"Lukas Nissen","Jonas Nissen",DTYC,12,9,21,21,10
GER,7921,"Jochen Heydolph","Jürgen Ziegler",SCLW,13,11,24,24,11
GER,8562,"Wolfgang Seifert","Christian Voggeser",SCLW,11,15,26,26,12
GER,7970,"Mats Westholm","Pedro Bohnenberger",SCLW,16,12,28,28,13
GER,8697,"Wilfried Stuis","Alexander von Mertens",YCN,15,14,29,29,14
GER,7854,"Timo Klapper","Christoph Demarczyk",SCLW,14,16,30,30,15
GER,8642,"Thoralf Greger","Marc Rothnie",ASVG,10,"DNF 20",30,30,16
GER,8658,"Hanno Stratmann","Frank Schulze",SCLW,17,18,35,35,17
GER,8598,"Katinka Haslinger","Udo Wilters",MRSV,"DNF 20",13,33,33,18
GER,8204,"Ingo Schneider","Sebastian Hoering",SCLW,"DNF 20",17,37,37,19
