Country,"Boat Number",Helm,Crew,Club,"Race 1",Brutto,Netto,Place
GER,7970,"Mats Westholm","Hartmut Weiß",SCLW,1,1,1,1
GER,7921,"Jochen Heydolph","Wolfgang Hiltscher",SCLW,2,2,2,2
