Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Position
GER,8940,Dr.Wolfgang Hunger,Holger Jess,,(10),1,1,1,1,8,1,(55) DNC,13,1
GER,8651,Claas Lehmann,Martin Schöler,,2,3,3,7,7,(13),3,(55) DNC,25,2
GER,8903,Boris Herrmann,Julien Kleiner,,3,5,5,10,(12),3,(23),2,28,3
DEN,8620,Jan Saugmann,Morten Ramsbæk,,9,4,(10),2,2,(12),8,4,29,4
GER,8927,Martin Görge,Hans-Heinrich Rix,,4,8,9,9,(11),1,6,(20),37,5
GER,8875,Jens Findel,Johannes Tellen,,1,6,6,(55) DNC,3,7,24,(24),47,6
GBR,8908,Jim Hunt,Norman Byrd,,18,2,4,3,(55) DNC,(55) DNC,18,5,50,7
FRA,8771,Philippe Boite,Fabrice Toupet,,(30),(55) DNC,18,14,5,2,11,3,53,8
GER,8728,Meike Schomäker,Rainer Görge,,7,9,8,4,4,(34),(55) DSQ,21,53,9
USA,8919,Tom Gosch,Doug Mc Keige,,11,(55) DNC,7,5,18,(26),4,9,54,10
GER,8916,Stefan Köchlin,Axel Priegann,,13,(20),2,6,9,(32),14,18,62,11
GER,8880,Christian Kellner,Robert Rothe,,15,10,11,11,(19),14,2,(19),63,12
GER,8904,Jan Forster,Marcus Neuss,,8,(19),(23),8,13,11,17,8,65,13
GER,8466,Volker Niediek,Stefan Heising,,16,11,17,13,(20),6,5,(22),68,14
GER,8730,Helen Fischer,Cornelius Heeschen,,(32),5,(30),17,17,10,13,11,73,15
GER,8721,Malte Christophersen,Sebastian Salein,,(34),16,(55) OCS,23,6,4,22,10,81,16
GER,8932,Dirk Filimonow,Lars Stoeckmann,,6,7,(55) OCS,16,15,18,(26),23,85,17
GER,8915,Hasso Plattner,Peter Alarie,,21,13,14,(31),8,22,9,(33),87,18
GER,8669,Tim Böger,Markus Schöner,,(26),17,16,12,16,16,16,(25),93,19
GER,8686,Christian Niefert,Thomas Weber,,19,18,12,20,14,(25),(27),13,96,20
DEN,8828,Lasse Andreasen,Jon Andersen,,22,12,20,26,(28),20,(30),12,112,21
GER,8862,Stefan Böhm,Gerald Roos,,17,15,13,19,23,(33),29,(55) DNC,116,22
