Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Punkte,Pl.
GER,8875,Jens Findel,Johannes Tellen,KYC,2,2,4,1,1,,1
GER,8904,Jan Forster,Marcus Neuß,SGaM,22,1,3,3,3,,2
GER,8880,Helen Fischer,Cornelius Heeschen,BYC,1,3,2,7,10,,3
GER,8721,Malte Christophersen,Sebastian Salein,KAR,3,4,5,5,2,,4
DEN,8656,Henrik Buhl,Morten S. Andersen,FSDK,6,9,6,2,5,,5
GER,8686,Christian Niefert,Axel Priegann,BSV,5,6,8,4,4,,6
GER,8531,Michael Troch,Eckart König,SGJ,14,7,1,6,8,,7
GER,8758,Christian Meier-Kothe,Ole Raschdorf,KYC,4,5,10,8,9,,8
GER,8433,Jürgen Anton,Thomas Tschentscher,HSC,7,8,7,11,7,,9
GER,8874,Jürgen Waldheim,Daniel Wehden,PYC,10,16,9,10,6,,10
GER,8775,Carsten Engel,Tobias Neumeyer,PSVK,8,10,11,9,22,,11
GER,8550,Martha Hauschild,Michael Heyder,SCS,9,11,12,12,11,,12
GER,8575,Benjamin Bintig,Oliver Korittki,YCO,11,12,14,15,13,,13
GER,8607,Antje Paulsen,Björn Schaar,BSV,13,13,13,12,0,,14
GER,8500,Christian Henge,Matthias Fedde,OSG,15,17,17,16,14,,15
GER,7638,Sven Dömges,Andreas Happich,ESV86,12,14,16,22,22,,16
GER,8365,Andreas Lehmann,Robert Lisker,VsAW,22,15,15,14,22,,17
