Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3",Brutto,Netto,Place
GER,8806,"Lutz Stengel","Anja Thiess",ROYC,1,1,1,3,3,1
GER,8599,"Florian Duwe","Marc Helms",TSC,3,3,3,9,9,2
GER,8563,"Christian Niefert","Stefan Schmidt",BSV,9,2,2,13,13,3
GER,8721,"Malte Christophersen","Sebastian Salein",KAR,2,5,8,15,15,4
GER,8365,"Andreas Lehmann","Robert Hanke",VsAW,5,6,4,15,15,5
GER,8825,"Michael Troch","Axel Priegann",SGJ,6,7,5,18,18,6
GER,8376,"Sven Dömges","Andreas Happich",ESV86,4,4,15,23,23,7
GER,8720,"Lennart Tasche","Frederik Tasche",WSVG09,7,8,11,26,26,8
GER,8550,"Martha Hauschild","Michael Heyder",SCS,8,13,7,28,28,9
GER,7764,"Sven Ballandat","Sven Niemuth",SVBB,14,9,6,29,29,10
GER,6816,"Andreas Jungclaus","Bruno Laudage",HSC,10,11,12,33,33,11
GER,8929,"Jürgen Waldheim","Konrad Barop",PYC,12,14,9,35,35,12
GER,8619,"Steve Kwee","Thorsten Spötter",HSC,15,10,10,35,35,13
GER,6786,"Hendrik Reinhardt","Christopher Jantz",SVSF,11,12,13,36,36,14
GER,7746,"Christian Lempp","Milan Plogsties",HSC,13,15,16,44,44,15
GER,8533,"Roger Bussenius","Robert Bussenius",SCOH,17,17,14,48,48,16
GER,8730,"Enno Wilts","Jan Wiechmann",SVBB,16,16,17,49,49,17
