Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Brutto,Netto,Place
GER,8875,Jens Findel,Johannes Tellen,KYC,1,1,2,4,4,1
GER,8880,Helen Fischer,Cornelius Heeschen,BYC,4,2,1,7,7,2
GER,8874,Norbert Dasenbrook,Sven Meier,KSW,2,4,3,9,9,3
GER,8686,Christian Niefert,Thomas Weber,BSV,8,5,4,17,17,4
GER,8725,Markus Maisenbacher,Lars Kruse,WVH,6,3,9,18,18,5
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,9,6,5,20,20,6
GER,8441,Rainer Gerdes,Tim Steinert,SSCK,5,9,6,20,20,7
GER,8843,Nicolai Völckner,Lars Dehne,HSC,3,10,11,24,24,8
GER,8522,Thomas Wieting,Hannes Lehning,WVH,7,11,7,25,25,9
GER,8608,Bernd Rasenack,Enno Wilts,ZSK,11,8,8,27,27,10
GER,8365,Andreas Lehmann,Robert Hanke,VsAW,10,7,13,30,30,11
GER,8758,Christian Meier-Kothe,Ole Raschdorf,KYC,10,7,13,30,30,12
GER,7035,Michael Köritz,Rebecca Strahl,USCO,12,18,10,40,40,13
GER,8433,Jürgen Anton,Ulf Denecke,HSC,14,12,19,45,45,14
GER,8458,Helmut Madeheim,Jens Krause,PBYC,17,14,14,45,45,15
GER,8480,Marc Köster,Christoph Köster,BSV-AT,16,15,15,46,46,16
GER,8546,Dirk Hänsgen,Frank Rupprich,SVPB,15,16,16,47,47,17
GER,8528,Andre Tirre,Frank Wille,YCS,20,17,17,54,54,18
GER,8575,Benjamin Bintig,Oliver Korittki,YCO,18,19,20,57,57,19
GER,7978,Alexandra Wahler,Michael Kramer,,21,21,18,60,60,20
GER,8297,Mario Tirre,Henry Stoffers,SCZ,19,20,DNF 22,61,61,21
