Nation,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Total,Nett,Rank
FIN,8768,Jukka Nieminen,Antti Salonen,SP / HYP,1,1,1,1,1,1,2,1,1,(3.0),(4.0),1,18,11,1st
FIN,8057,Kaj Lindfors,Johan Halonen,ÅSS,2,3,2,2,3,2,1,(6.0),3,4,2,(5.0),35,24,2nd
FIN,8585,Henry Räty,Markus Wikar,N / SSJ,(5.0),2,4,3,2,5,(6.0),2,2,2,3,4,40,29,3rd
FIN,8907,Hanno Narjus,Mikael Maksimow,TPS,4,5,5,4,5,3,5,4,4,(6.0),1,(6.0),52,40,4th
FIN,8466,Hannu Pöyry,Juha Pietilä,Vuosaaren VK,(6.0),(6.0),3,6,4,4,4,5,6,1,6,2,53,41,5th
FIN,8632,Jari Hamström,Tuomas Laurila,KuoPS / EMK,3,4,(6.0),5,6,(8.0 DNF),3,3,5,5,5,3,56,42,6th
FIN,8127,Raimo Raita,avoin,V71,(8.0 DNC),(8.0 DNC),8.0 DNC,8.0 DNC,8.0 DNC,8.0 DNC,8.0 DNC,8.0 DNC,8.0 DNC,8.0 DNC,8.0 DNC,8.0 DNC,96,80,7th
