3,2,,,5,Su,,,,,
POL 8129,Konrad Plewa,Jerzy Plewa,ZKŻ ZBASZYŃ,*DNC,1,1,1,1,4,1
POL 9025,Igor Graczyk,Maciej Graczyk,ZKŻ ZBĄSZYŃ,*DNC,2,2,2,DNF,10,2
POL 8451,Dariusz Rzadkowski,Krzysztof Rzadkowski,ZKŻ ZBĄSZYŃ,*DNC,3,3,3,2,11,3
