Sail,Number,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,T,N,Nr
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,-2,1,1,1,1,1,7,5,1
FIN,9069,Rosemarie Hartman,Tuomas Laurila,M,1,-3,2,2,2,2,12,9,2
FIN,8678,Tatu Miettinen,Ville Tarvo,LPS,3,2,4,3,(8 OCS),3,23,15,3
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK,5,5,3,4,-6,6,29,23,4
FIN,7784,Thomas Held,Juha Nurmela,BSS,4,6,(8 DNS),7,3,4,32,24,5
FIN,8466,Hannu Pöyry,Ari Dillemuth,VVK,-7,4,5,6,4,5,31,24,6
FIN,8352,Kari Lehtonen,Timo Vennonen,HSK,6,7,(8 DNS),5,5,7,38,30,7
