 ,Helm,Crew,Sail No.,"Category
 ",1,2,3,4,5,6,7,8,Points,Discard,Points, 
1,Wolfgang Hunger,Holger Jess,GER 8851,Male,2,2,6,5,1,4,1,DNF,78,63,15, 
2,Jan Saugmann,Morten Ramsbak,DEN 8620,Male,6,1,10,8,4,6,2,4,41,18,23, 
3,Dario Kliba,Christian Stormark,DEN 8827,Male,14,13,9,4,5,1,6,1,53,27,26, 
4,Krister Bergstrom,Thomas Moss,SWE 8812,Male,5,10,1,1,6,8,14,8,53,24,29,Penalty 5 pts
5,Ian Pinnell,Steve Hunt,GBR 8743,Male,11,5,17,7,16,3,3,5,67,33,34, 
6,Stefan Kochlin,Axel Priegann,GER 8850,Male,7,DSQ,4,18,3,9,11,2,111,75,36, 
7,Per Larsen,Henrik Andersen,DEN 8849,Male,24,8,5,23,12,2,4,6,84,47,37, 
8,Michael Roessler,Holger Neuhaus,GER 8750,Male,13,15,3,6,13,10,5,8,73,28,45, 
9,Christian Kellner,Klaus Stammerjohann,GER 8672,Male,8,7,2,3,24,13,24,16,97,48,49, 
10,Bo Petersen,Henik Buhl,DEN 8656,Male,23,9,24,2,2,5,12,24,101,48,53, 
11,Hans-Heinrich Rix,Steffen Achenbach,GER 8744,Male,3,25,21,11,8,12,16,11,107,46,61, 
12,Floriant Stauffer,Philippe Jacot,SUI 8729,Male,15,6,7,17,10,18,22,7,102,40,62, 
13,Volker Niediek,Stefan Heising,GER 8466,Male,10,11,27,14,9,15,10,13,109,42,67, 
14,Norbert Dasenbrook,Sven Meier,GER 8663,Male,25,20,18,9,15,7,7,19,120,45,75, 
15,Tom Swift,Martin Scholer,GER 8775,Male,18,4,13,10,22,16,23,14,120,45,75, 
16,Markus Muhlbauer,Andreas Achterberg,GER 8580,Male,34,18,25,12,7,25,9,10,140,59,81, 
17,Jans-Peter Schlomka,Urs Wihlfahrt,GER 8665,Male,1,28,16,29,19,23,8,20,144,57,87, 
18,Jens Findel,Johannes Tellen,GER 8619,Under25,28,19,8,26,20,11,15,17,144,54,90, 
19,Franziska Unkelbach,Caroline von Dahl,GER 8664,Female,12,12,12,21,17,21,25,21,141,46,95, 
20,Ebbe Rosen,Olle Wenrup,SWE 8806,Male,9,3,20,30,14,30,28,DNF,191,87,104, 
21,Thoralf Greger,Anna Holl,GER 8642,Mix,26,22,11,28,35,24,13,9,168,53,105, 
22,Charlie Walers,Dougal Cram,GBR 8474,Male,19,16,32,20,18,19,29,18,171,61,110, 
23,Kristine Foerster,Thilo Koenig,GER 8127,Mix,17,14,19,33,11,28,32,22,176,65,111, 
24,Helen Fischer,Robert Rothe,GER 8550,Mix,36,29,26,13,21,33,20,12,190,69,121, 
25,Robert Wisolek,Guido von Walter,GER 8519,Male,38,17,15,22,26,32,17,29,196,70,126, 
26,Jon Andersen,Lasse B. Andreasen,DEN 8581,Male,20,27,38,15,38,14,34,28,214,76,138, 
27,Pierre-Jean Gallo,Regis Viateur,FRA 8802,Male,37,30,14,27,28,20,27,25,205,67,138, 
28,Karsten Lahrs,Peter Gerdts,GER 8788,Male,4,24,30,38,23,34,36,33,222,74,148, 
29,Alexander Holzapfel,Tobias Neumeyer,GER 8609,Male,27,36,29,19,31,29,19,30,220,67,153, 
30,Stefan Schollmayer,Frisco Sanguino,GER 8777,Male,29,31,36,16,30,26,35,23,226,71,155, 
31,Michael Troch,Eckart Konig,GER 8531,Male,21,32,28,39,44,27,33,15,239,83,156, 
32,Volker Gorge,Karsten Morf,GER 8675,Male,22,23,40,37,29,22,26,34,233,77,156, 
33,Nicolai Voelckner,Lars Dehne,GER 8843,Male,30,21,23,39,27,35,21,57,253,96,157,Penalty 5 pts
34,Andy Williams,Andy Edmonds,GBR 8694,Male,16,26,DNF,32,33,39,37,26,266,96,170, 
35,Stephan Krause,Michael Krause,GER 8749,Under25,DNF,39,43,40,32,17,18,27,273,100,173, 
36,Juergen Waldheim,Martin Maal,GER 8825,Male,32,35,33,25,28,45,31,44,273,89,184, 
37,Petra Kliba-Schmidt,Jan-Rolf Schmidt,GER 8465,Mix,DSQ,43,34,24,43,31,38,38,308,100,208, 
38,Alexander Kodisch,Stefan Peters,GER 8570,Under25,45,34,49,44,52,36,30,32,322,101,221, 
39,Jan Sell,Wiebke Gewinn,GER 8418,Mix,31,42,31,48,41,52,41,41,327,100,227, 
40,Christiane Giefers,Jens Krause,GER 8458,Mix,43,49,50,31,50,37,39,31,330,100,230, 
41,Marco Giraldi,Paolo Corbellini,ITA 8097,Male,DNF,33,22,51,36,49,40,DNF,345,114,231, 
42,Tina Holl,Alexander Wilhelm,GER 7661,Mix,35,41,37,45,37,44,46,40,325,91,234, 
43,Simon J. Lake,Longstaff Mark,GBR 8835,Male,DNF,40,35,43,34,DNF,52,36,354,114,240, 
44,Alexander von Mertes,Pia Wiesbauer,GER 8530,Mix,41,47,45,35,DSQ,43,42,35,345,104,241, 
45,Nathalie Friedrich,Claudius Zeiler,GER 8769,Mix,42,45,39,36,42,47,48,37,336,95,241, 
46,Dirk Hansgen,Frank Rupprich,GER 8546,Male,33,37,41,50,39,46,49,47,342,99,243, 
47,Jano Forster,Daniel Wehden,GER 8404,Male,48,44,42,41,40,40,47,44,346,95,251,Penalty 5 pts
48,Antje Paulsen,Bjorn Schaar,GER 8607,Mix,39,48,47,52,46,41,44,DNF,374,109,265, 
49,Gabriel Shonau Hanse,Hohnny Rodholm,DEN 8416,Male,47,52,46,47,54,38,43,45,372,106,266, 
50,Thorsten Koch,Franzika Schiedt,GER 8375,Mix,44,54,DNC,42,54,42,45,42,380,111,269,Penalty 5 pts
51,Jurgen Feuerhake,Anne Nehrenberg,GER 8450,Mix,49,38,51,46,48,51,50,43,376,102,274, 
52,Jean-Louis Guibbal,Mattihieu Guibbal,FRA 8521,Male,40,51,48,53,45,48,53,DNF,395,110,285, 
53,Benjamin Grosskurth,Susanne Grosskurth,GER 8697,Mix,50,46,52,49,47,50,51,46,391,103,288, 
54,Peter Wackerbauer,Klaudia Opitz,GER 8579,Mix,46,50,44,DNF,58,DNF,DNF,DNF,426,115,311,Penalty 5 pts
55,Jim Berry,David Barnes,GBR 8690,Male,57,53,53,54,51,53,54,48,423,111,312, 
56,Carsten Engel,Tobias Neumeyer,GER 8711,Male,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,456,114,342,
