Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Platzierungen 7,Platzierungen 8,Punkte,Pl.
GER,9135,Stefan Böhm,Gerald Roos,SCV,7,DNC,2,6,2,5,3,1,,1
GER,8929,Kai Bertallot,Jan Reifferscheidt,FSC,12,5,4,5,1,8,1,5,,2
GER,9090,Christian Kellner,Martin Schöler,HSC,2,17,OCS,1,5,2,2,4,,3
GBR,9143,Richard Lovering,Matt Alavado,HISC,3,2,3,9,9,3,13,10,,4
CAN,8970,Robert Tennant,Steve Bourdow,,23,12,1,2,4,1,RET,2,,5
SUI,8569,Rene Betschen,Lionel Hollinger,CNB,19,6,5,10,15,16,4,3,,6
SUI,9147,Caroline Jacot,Philippe Jacot,CVN,1,4,6,DNC,10,14,14,11,,7
GER,9070,Stefan Köchlin,Andreas Achterberg,SKF,8,16,15,8,6,4,6,14,,8
DEN,9118,Jan Saugmann,Jakob Karbo,HiS,18,11,8,11,7,11,9,9,,9
GER,9169,Tim Böger,Markus Schöner,HSC,15,7,7,14,13,10,10,6,,10
FRA,9075,Philippe Boite,Florian Corbel,CVM,9,18,13,4,22,6,6,13,,11
GER,9133,Frieder Achterberg,Wolfgang Stückl,DTYC,4,29,10,7,11,15,17,8,,12
GER,8519,Thure Gnadeberg,Aron Tellen,BSV,OCS,3,9,13,18,9,15,7,,13
GER,9171,Stefan Giesler,Frank Böhm,VSAW,5,9,17,15,8,13,11,20,,14
GER,9101,Timon Treichel,Morten Roos,DYC,DNF,DNC,11,3,3,7,8,12,,15
GER,9146,Harald Möser,Johannes Tellen,WYC,10,1,14,17,20,22,7,18,,16
DEN,9128,Martin Frederichsen,Henrik Buhl,ASK,11,8,12,18,21,18,23,17,,17
GER,9100,Hendrik Schultz,Thorsten Koch,SCLW,13,30,19,12,12,17,18,16,,18
GER,9040,Nørbert Dasenbrook,Sven Meier,KSW,21,15,20,16,14,20,12,19,,19
GER,9035,Ronald Roos,Nils-Henning Hofmann,SVWu,DNF,20,16,20,17,12,16,15,,20
FRA,9099,Gilles Chapelin,Alain Karadjan,,6,13,21,21,24,19,20,22,,21
GER,9043,Nicola Birkner,Angela Stenger,SVaW,16,19,23,14,19,21,21,21,,22
AUS,9028,Alexander Earle,Paul Ridgway,,26,14,22,23,16,23,19,28,,23
SUI,9060,Catherine Houriet,Gil Donze,,20,10,29,26,28,25,24,25,,24
GER,9113,Sophie Söllner,Karsten Stümpel,CYC,14,21,26,22,DNC,28,27,26,,25
GER,8849,Henrik Schade,Fabian Vergil,WVW,25,26,24,25,23,24,25,23,,26
SUI,8961,Toni Utiger,Markus Heilig,,27,24,18,19,25,DNC,22,DNC,,27
AUS,9071,Richard Hyde,David Johnson,,31,23,27,27,26,26,28,24,,28
GER,8672,Dirk Hütten,Guido von Walter,,24,25,30,28,27,31,30,30,,29
GER,8990,Ralf Breitenfeldt,Thore von Puttkammer,HSC,28,32,25,29,DNC,29,29,29,,30
FRA,9086,Elisabeth Neidhart,David de Monteil,,22,31,DNC,DNC,DNC,27,26,27,,31
GBR,8963,Martin Hodgson,Adrian Miles,,17,22,DNC,DNC,DNC,DNC,DNC,DNC,,32
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,30,27,DNC,DNC,DNC,30,31,31,,33
GER,9114,Mats Westholm,Francisco Sanguino,SCLW,29,28,28,DNC,DNC,DNC,DNC,DNC,,34
