Nation,Sail Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Points,Place
GER,9241,Agnieszka Skrzypulec,Holger Jess,SEJK Pogoń Szczecin/WSCW,1*,1,1,1,1,1,1,1,1,1,9,1
POL,9145,Jakub Pawluk,Marcin Józefowski,Sailing Legia,2,3,3,3,3,3,3,DNF*,5,3,28,2
GER,9182,Alexander Holzapfel,Finn Boeger,PSVK/HSC,3,6*,4,2,5,2,4,2,4,6,32,3
POL,9170,Karol Milewski,Bartosz Milewski,YK STAL GDYNIA,7,7,11*,8,2,6,5,3,6,5,49,4
POL,8736,Jan Sibilski,Andrzej Borowiak,ŻLKS Kiekrz Poznań/ŻMKS Poznań,5,2,5,5,10,5,14*,5,3,10,50,5
POL,9149,Michał Strusiński,Mateusz Byrski,Port Mechelinki,11*,5,SCP 2,6,4,7,10,9,2,2,54,6
POL,9119,Mateusz Jura,Bartek Chroł,PSK 505,8,8,9*,4,8,8,2,7,7,4,56,7
GER,9113,Joseph Schütte,Karsten Stümpel,KYC/HSC,9,4,6,9,6,4,8,6,OCS*,7,59,8
POL,8875,Dariusz Konopczak,Paweł Henszke,KS Centrum Żeglarskie Szczecin,10,14*,7,10,12,11,13,4,8,8,83,9
POL,9233,Tomek Brzozowski,Paweł Choroba,KŻ Horn Kraków,6,11,10,7,7,12,19*,10,11,9,83,10
POL,8802,Dominik Ostrowski,Maciej Goździk,SWOS Warszawa,12,9,13,12,9,17,9,12,OCS*,11,104,11
GER,9224,Konrad Otto,Martin Lietz,SG Seeburg/Hong Kong Sailing Federation,4,10,8,11,11,15,12,15,DNC*,DNC,110,12
POL,8665,Marcin Panek,Jakub Grabowski,PSK 505/JK Krynica Morska,13,13,15,15,19,9,7,8,RET*,13,112,13
POL,8812,Sławomir Plichta,Kacper Ciechorski,Yacht Klub Stal Gdynia/PYSC,15,15,14,14,13,14,6,16*,14,12,117,14
POL,8747,Anna Jabłońska,Andrzej Zdrojek,PSK 505,14,12,12,13,14,16*,15,14,10,14,118,15
POL,8483,Mariusz Michalski,Piotr Duma,YK STAL GDYNIA/PSK 505,16,19*,16,16,17,13,16,11,9,17,131,16
POL,7237,Paweł Kluczyński,Teofil Nowak,OŚ AZS POZNAŃ,17,18,20*,20,16,18,11,13,13,16,142,17
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,YK STAL GDYNIA/YK STAL GDYNIA,19,17,17,17,15,22,17,DNC*,12,18,154,18
POL,8909,Michał Kępski,Maksymilian Zaniewski,RKS Lasery Zegrze,20,20,19,19,20,10,18,DNC*,OCS,15,165,19
POL,8130,Anna Zabłocka,Jędrzej Bering,KS Centrum Żeglarskie Szczecin,18,21*,18,18,18,21,20,17,15,20,165,20
POL,8634,Kacper Kaczmarek,Michał Prończuk,OŚ AZS POZNAŃ,21,16,21,RET*,21,20,DNF,DNC,OCS,DNF,195,21
POL,8770,Jakub Gąsiorowski,Karolina Gąsiorowska,Yacht Klub Stal Gdynia,DNC*,DNC,DNC,DNC,22,19,DNF,DNC,16,19,196,22
POL,9132,Przemysław Zagórski,Michał Olko,YK STAL GDYNIA,DNC*,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,216,23
