Nation,Sail NO,Helm,Crew,Helm club,Rrace 1,Rrace 2,Rrace 3,Rrace 4,Rrace 5,Rrace 6,Crew Club,,Mce
POL,8736,Jan Sibilski,Andrzej Borowiak,ŻMKS POZNAŃ,[3],1,1,1,1,2,ŻLKS POZNAŃ,6,1
POL,9170,Karol Milewski,Bartosz Milewski,YK STAL GDYNIA,1,2,[3],2,2,1,YK STAL GDYNIA,8,2
POL,9119,Sławomir Plichta,Bartosz Chroł,PSK 505,2,3,4,[5],3,5,YKP WARSZAWA,17,3
POL,9233,Tomasz Brzozowski,Paweł Choroba,HORN KRAKÓW,4,[5],2,4,4,3,HORN KRAKÓW,17,4
POL,8906,Tomasz Polikowski,Adam Najmowicz,YK STAŁ GDYNIA,7,[DNF 16],6,3,5,4,YK STAŁ GDYNIA,25,5
POL,8665,Marcin Panek,Jakub Grabowski,JK KRYNICA MORSKA,5,6,5,7,7,[DNC 16],PSK 505,30,6
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,YACHT KLUB STAL GDYNIA,[13],8,7,9,6,8,YACHT KLUB STAL GDYNIA,38,7
POL,8028,Anna Zabłocka,Jedrzej Bering,CENTRUM ŻEGLARSKIE,[9],9,8,8,8,9,CENTRUM ŻEGLARSKIE,42,8
POL,8909,Michał Kępski,Maksymilian Zaniewski,RKS LASERY ZEGRZE,8,[11],11,10,10,6,RKS LASERY ZEGRZE,45,9
POL,8634,Kacper Kaczmarek,Michał Prończuk,OŚ AZS POZNAŃ,10,10,[12],11,11,10,OŚ AZS POZNAŃ,52,10
POL,8747,Anna Jabłońska,Andrzej Zdrojek,PSK 505,[DNC 16],DNC 16,9,6,DNF 16,7,PSK 505,54,11
POL,8770,Jakub Gąsiorowski,Karolina Gąsiorowska,YK STAL GDYNIA,12,[DNF 16],10,12,9,11,YK STAL GDYNIA,54,12
POL,8802,Dominik Ostrowski,Maciej Goździk,SWOS WARSZAWA,6,4,[DNF 16],DNF 16,DNF 16,DNF 16,SWOS WARSZAWA,58,13
POL,8483,Mariusz Michalski,Piotr Duma,PSK 505,11,7,[DNF 16],DNF 16,DNF 16,DNF 16,YK STAŁ GDYNIA,66,14
POL,9020,Justyna Bunar,Anna Smela,BTŻ SOLINA,[DNF 16],DNF 16,13,13,DNF 16,12,BTŻ SOLINA,70,15
