1,505,POL 9119,"Mateusz Jura
Bartek Chroł",PSK 505,8,1,1,1,11.00,11.00
2,505,POL 8875,"Dariusz Konopczak
Pawel Henszke",KLUB SPORTOWY CENTRUM ŻEGLARSKIE SZCZECI,2,4,3,2,11.00,11.00
3,505,POL 8736,"Jan Sibilski
Andrzej Borowiak","ŻLKS Kiekrz Poznań
ŻMKS Poznań",3,2,4,4,13.00,13.00
4,505,POL 8665,"Marcin Panek
Jakub Grabowski","PSK 505
-",6,5,5,3,19.00,19.00
5,505,POL 9233,"Tomek Brzozowski
Paweł Choroba",KŻ Horn Kraków,1,8,2,14,25.00,25.00
6,505,POL 8416,"Michał Strusiński
Szymon Ignaciuk",PORT Mechelinki,5,7,14,5,31.00,31.00
7,505,POL 7237,"Paweł Kluczyński
Teofil Nowak",OŚ AZS POZNAŃ,9,10,9,6,34.00,34.00
8,505,POL 8493,"Mieczysław Szwed
Tomasz Idzikowski",KLUB SPORTOWY CENTRUM ŻEGLARSKIE SZCZECI,4,3,6,DNF,35.00,35.00
9,505,POL 8483,"Mariusz Michalski
Piotr Duma","YK STAL GDYNIA
PSK 505",10,11,7,7,35.00,35.00
10,505,POL 9132,"Przemysław Zagórski
Michał Olko",Yacht Klub Stal Gdynia,7,6,13,11,37.00,37.00
11,505,POL 8812,"Sławomir Plichta
Paweł Prus",YKP Warszawa,11,9,11,12,43.00,43.00
12,505,POL 8028,"Anna Zabłocka
Jędrzej Bering",Centrum Żeglarskie Szczecin,15,13,8,9,45.00,45.00
13,505,POL 8909,"Michał Kępski
Maksymilian Zaniewski",RKS Lasery Zegrze,13,15,12,10,50.00,50.00
14,505,POL 8490,"Marcin Pfeiffer
Dominik Narloch",AA,DNF,12,10,DNF,66.00,66.00
15,505,POL 8463,"Jacek Ludwiczak
Grzegorz Szreder",YACHT CLUB STAL,12,14,DNF,DNF,70.00,70.00
16,505,POL 8145,"Aleksandra Gill
Mateusz Byrski",UKS NAVIGO Sopot,16,DNF,DNF,13,73.00,73.00
17,505,POL 8906,"Tomasz Polikowski
Adam Najmowicz",Yacht Klub Stal Gdynia,DNF,DNF,DNF,8,74.00,74.00
18,505,POL 8212,"Jacek Terpiłowski
Michał Terpiłowski","Niezrzeszony
Niezrzeszony",14,16,DNF,DNF,74.00,74.00
19,505,POL 8802,"Dominik Ostrowski
Maciej Gozdzik",SWOS Warszawa,DNF,DNF,DNF,DNF,88.00,88.00
19,505,POL 8634,"Kacper Kaczmarek
Michał Prończuk",ORGANIZACJA ŚRODOWISKOWA AZS W POZNANIU,DNF,DNF,DNF,DNF,88.00,88.00
19,505,POL 8770,"Jakub Gąsiorowski
Karolina Gąsiorowska",YK STAL GDYNIA,DNF,DNF,DNF,DNF,88.00,88.00
Michał TerpiłowskiNiezrzeszony,,,,,,,,,,
Niezrzeszony1416DNFDNF74.0074.0019505 POL 8802Dominik Ostrowski,,,,,,,,,,
Maciej GozdzikSWOS WarszawaDNFDNFDNFDNF88.0088.0019505 POL 8634Kacper Kaczmarek,,,,,,,,,,
Michał PrończukORGANIZACJA ŚRODOWISKOWA AZS W POZNANIUDNFDNFDNFDNF88.0088.0019505 POL 8770Jakub Gąsiorowski,,,,,,,,,,
Karolina GąsiorowskaYK STAL GDYNIADNFDNFDNFDNF88.0088.00,,,,,,,,,,
