Country,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Crew club,,Place
POL,9119,Mateusz Jura,Bartosz Chroł,,2,4*,3,1,4,2,,12.00,1
POL,9170,Karol Milewski,Bartosz Milewski,,3,1,2,6*,6,1,,13.00,2
POL,8736,Jan Sibilski,Kacper Kaczmarek,ŻLKS Kiekrz Poznań,1,3,6*,4,1,6,ORGANIZACJA ŚRODOWISKOWA AZS W POZNANIU,15.00,3
POL,9233,Tomasz Brzozowski,Paweł Choroba,KŻ Horn Kraków,5,5,1,2,3,7*,,16.00,4
POL,9132,Przemek Zagórski,Michał Olko,YK STAL GDYNIA,4,2,OCS*,3,5,8,YK STAL GDYNIA,22.00,5
POL,8875,Dariusz Konopczak,Paweł Henszke,KLUB SPORTOWY CENTRUM ŻEGLARSKIE SZCZECI,OCS*,7,5,7,2,3,,24.00,6
POL,8665,Marcin Panek,Jakub Grabowski,,6,6,4,5,7*,4,,25.00,7
POL,8493,Mieczysław Szwed,Tomasz Idzikowski,KLUB SPORTOWY CENTRUM ŻEGLARSKIE SZCZECI,9,8,8,14*,9,5,,39.00,8
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,YK STAL GDYNIA,8,11,13*,10,8,9,YK STAL GDYNIA,46.00,9
POL,8483,Mariusz Michalski,Piotr Duma,YK STAL GDYNIA,7,14,7,9,12,DNF*,PSK505,49.00,10
POL,7237,Paweł Kluczyński,Teofil Nowak,OŚ AZS POZNAŃ,OCS*,9,12,8,10,13,,52.00,11
POL,8028,Anna Zabłocka,Jędrzej Bering,Centrum Żeglarskie Szczecin,12*,10,9,12,11,10,,52.00,12
POL,8145,Mateusz Byrski,Aleksandra Gill,UKS NAVIGO Sopot,10,12,10,13,13,DNF*,Ocean Challenge Yacht Club,58.00,13
POL,8906,Tomasz Polikowski,Adam Najmowicz,Yacht Klub Stal Gdynia,11,13,11,11,14*,12,,58.00,14
POL,8909,Michał Kępski,Maksymilian Zaniewski,RKS Lasery Zegrze,13,15,DNF*,15,15,11,,69.00,15
