Nation,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,Total,Nett,Rank
FIN,8768,Jukka Nieminen,Antti Salonen,SP/HYP,-4,1,2,2,1,1,11,7,1
FIN,8678,Eino Laitinen,Thomas Castren,MSVK/ESF,1,-3,1,1,3,2,11,8,2
FIN,8057,Kaj Lindfors,Johan Halonen,ASS,3,2,4,4,-5,3,21,16,3
FIN,8466,Sampsa Hyysalo,Jussi Kuosa,HSK,6,4,6,3,4,(12.0 DNF),35,23,4
FIN,8962,Hannu Pöyry,Juha Pietila,VVK,-10,7,7,6,6,5,41,31,5
FIN,7784,Thomas Held,Timo Vennonen,BSS/HSK,7,5,5,5,(12.0 DNS),12.0 DNS,46,34,6
FIN,8127,Raimo Raita,Juha Nurmela,Vene-71,5,(12.0 DNF),3,12.0 DNS,12.0 DNS,4,48,36,7
FIN,8923,Peter von Koskull,Michael Wolontis,NJK,2,(12.0 DNF),12.0 DNS,12.0 DNF,2,12.0 DNS,52,40,8
FIN,7956,Jouni Liljander,Jukka Saren,NJK/LP,11,8,(12.0 DNF),7,12.0 DNF,6,56,44,9
FIN,8430,Jouni Valli,Iiro Jaakonsaari,N/MPS,8,6,(12.0 DNS),12.0 DNF,12.0 DNS,12.0 DNS,62,50,10
FIN,8873,Ari Peltoniemi,Tapani Elovirta,HSK,9,(12.0 DNF),12.0 DNS,12.0 DNS,12.0 DNS,12.0 DNS,69,57,11
