,Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Netto,Place
,FIN,8632,Jari Hamström,Tuomas Laurila,KuoPS,5,2,(18 DNF),1,1,1,2,1,31,13,1st
,FIN,8678,Eino Laitinen,Thomas Castren,MSVK,2,3,1,4,4,5,3,-8,30,22,2nd
,FIN,8768,Jukka Nieminen,Antti Salonen,SP HYP ,1,4,(18 OCS),2,2,4,1,9,41,23,3rd
,FIN,8057,Kaj Lindfors,Johan Halonen,ASS,3,-6,4,3,3,3,6,4,32,26,4th
,FIN,46*,Sampsa Hyysalo,Jussi Kuosa,HSK,4,1,2,7,(18 DNS),8,7,2,49,31,5th
,FIN,7922,Olle Martonen,Mikael Nylund,WSF,9,7,5,9,(18 DNS),2,11,6,67,49,6th
,FIN,7784,Thomas Held,Timo Vennonen,BSS,6,(18 OCS),3,6,5,7,8,14,67,49,7th
,FIN,8659,Kira Maisniemi,Matti Dillemuth,HSK,10,8,9,10,(18 DNS),6,5,5,71,53,8th
,FIN,8736,Kare Tikka,Teemu Heljo,N,7,11,6,11,(18 DNS),11,13,11,88,70,9th
,FIN,8320,Tatu Miettinen,Ville Tarvo,LPS,11,9,8,8,(18 DNS),14,10,10,88,70,10th
,FIN,8466,Hyysalo Juha,Pietilä Smps,,12,5,7,(18,18 DNS,12,14,18 DNF,104,86 DNC),11th
,FIN,8873,Ari Peltoniemi,Tapani Elovirta,HSK,(18 DNC),18 DNC,18 OCS,5,18 DNS,16,9,3,105,87,12th
,FIN,8430,Jouni Valli Iiro,Jaakonsaari,N,(18 DNC),18 OCS,18 DNF,18 DNS,18 DNS,9,4,7,110,92,13th
,FIN,8127,Raimo Raita,Juha Nurmela,Vene-8,(18 OCS),18 DNF,18 DNS,18 DNS,10,15,12,117,99,71,14th
,FIN,7956,Jouni Liljander,Jukka Saren,NJK,13,10,(18,18 DNS,18 DNS,15,18,15,125,107 DNF) DNC,15th
,FIN,8582,Anssi Kienanen,Kaarle Kauppinen,HSS,(18 DNC),18 DNC,18 DNF,18 DNS,18 DNS,13,12,13,128,110,16th
,FIN,8923,Sami Jokinen,Michael Wolontis,HSK,(18 DNC),12,18 DNF,18 DNS,18 DNS,18,18,18,138,120,17th
