Nation,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,Total,Nett,Rank
FIN,8768,Jukka Nieminen,Antti Salonen,SP/HYP,(6.0),3,3,1,1,3,17,11,1
FIN,8466,Sampsa Hyysalo,Tapani Elovirta,HSK,1,(4.0),2,3,3,4,17,13,2
FIN,9069,Jari Hamström,Tuomas Laurila,KuoPS,(5.0),1,1,5,2,5,19,14,3
FIN,8678,Eino Laitinen,Teemu Heljo,MSVK,3,6,7,2,4,2,24,17,4
FIN,8127,Raimo Raita,Juha Nurmela,Vene-71,2,(7.0),4,4,5,6,28,21,5
FIN,8057,Kaj Lindfors,Johan Halonen,ASS,(7.0),2,6,6,7,1,29,22,6
FIN,8962,Hannu Pöyry,Juha Pietilä,VVK,4,8,8,7,8,(9.0),44,35,7
FIN,8430,Jouni Valli,Iiro Jaakonsaari,N/MPS,8,5,5,(9.0),9,8,44,35,8
FIN,8585,Henri Räty,Joonas Björkman,N,(11.0 DNF),11.0 DNF,11 DNF,8,6,7,54,43,9
FIN,7956,Jouni Liljander,Jukka Saren,NJK/LP,9,9,9,(11.0 DNS),11.0 DNS,11.0 DNS,60,49,10
