Nation,Sail No,Skipper,Crew,,"Race 1
30 Oct 21","Race 2
30 Oct 21","Race 3
30 Oct 21","Race 4
30 Oct 21","Race 5
31 Oct 21","Race 6
31 Oct 21","Race 7
31 Oct 21","Race 8
31 Oct 21",Total,Nett,Pos
AUS,9059,Christopher Paterson,Thor Schoenhoff,,1,1,1,1,-2,1,2,(13 DNC),22,7,1
AUS,8855,Nicholas Mariani,Alexander Thomson,,2,-3,3,2,-5,2,1,1,19,11,2
AUS,9192,Mark Stowell,Jake Bessen,,-4,2,2,3,3,3,4,(13 DNC),34,17,3
AUS,8894,Robert Fleming,Chris White,,3,-5,5,(13 DNC),1,4,3,2,36,18,4
AUS,9049,Ryan Sherburn,Merrick Coxall,,5,4,4,(13 DNC),4,7,-10,4,51,28,5
AUS,8817,Michael Duffield,Anthony Gaunt,,6,(13 DNC),(13 DNC),13 DNC,6,5,5,3,64,38,6
AUS,8968,Luke Abbott,Andrew Crawley,,-9,-9,6,4,8,9,8,7,60,42,7
AUS,8973,Riley Skipworth,John Goodchild,,7,(13 DNC),(13 DNC),13 DNC,7,6,6,5,70,44,8
AUS,8811,Matthew Hansen,,,8,6,(13 DNC),5,-10,10,7,8,67,44,9
AUS,9017,Roger Pell,Ed Repsevicius,,-10,8,8,6,9,-11,9,9,70,49,10
AUS,8667,Grant Abbott,Matthew Till,,-11,7,7,(13 DNC),11,8,11,6,74,50,11
AUS,59*,Jarrod Hazell,Roy Woodcock,,12,10,(13 DNC),(13 DNC),12,12,12,13 DNC,97,71,12
