Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Boat Name,Points Total,Points Netto,Place
SUI,,W. Müller,Hanspet Stutz,,3,3,1,,,"9,9",1
SUI,4636,Balmas,Balmas,,4,,2,,,"15,6",2
SUI,4708,Charrot,Burgat,,,2,,,,"17,6",3
SUI,4281,Fehlmann,Fehlmann,,,1,3,,,"18,9",4
FRA,4815,Philippe Blanchard,Philippe Blanchard,,1,,5,,,19,5
SUI,4911,Fehlmann,Pasche,,,,4,,,20,6
SUI,4093,Muller,Wismer,,,,,,,"20,9",7
SUI,4223,Urs Scherrer,Blum,,2,,,,,"21,6",8
SUI,4182,Muller,Buhler,,,,,,,23,9
SUI,4819,Lucien Keller,Edouard Kessi,,,,,,,26,10
SUI,4357,Noreide,Schwab,,,,,,,35,11
SUI,3989,Momo,Gay,,,,,,,36,12
SUI,463,Isaac,Chevalier,,,,,,,39,13
FRA,4605,Gre,Colinet,,,,,,,46,14
FRA,5032,Bernard Reynier,François Dury,,,,,,,48,15
SUI,4239,,,,,,,,,,16
SUI,4540,,,,,,,,,,17
FRA,3899,,,,,,,,,,18
SUI,4813,,,,,,,,,,19
SUI,3365,,,,,,,,,,20
SUI,4959,,,,,,,,,,21
SUI,4285,,,,,,,,,,22
SUI,4899,,,,,,,,,,23
SUI,4562,,,,,,,,,,24
SUI,4634,,,,,,,,,,25
SUI,116,,,,,,,,,,26
SUI,4945,,,,,,,,,,27
FRA,4571,,,,,,,,,,28
SUI,4927,,,,,,,,,,29
SUI,4561,,,,,,,,,,30
FRA,4632,,,,,,,,,,31
SUI,428,,,,,,,,,,32
