Nation,Sail no.,HelmName,CrewName,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Nett,Rank
DEN,9181,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup,1,1,1,[3],2,8,5,1st
SWE,8926,Ebbe Rosén,Olle Wenrup,MKS,2,4,[7],1,1,15,8,2nd
SWE,9029,Tomas Grundel,Johan Strömdahl,KSSS,3,[10],2,4,3,22,12,3rd
SWE,9002,Per Wester,Lars Wester,ÄSSS,4,3,[5],5,4,21,16,4th
SWE,8962,Peter Bökmark,Martin Persson,BKSS,8,5,3,2,[10],28,18,5th
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,Sorø Sejlforening,5,2,[6],6,5,24,18,6th
SWE,8923,Lars Hultgren,Axel Hultgren,RJK,6,7,4,[8],7,32,24,7th
SWE,9117,Fredrik Molander,Tomas Jaxing,LDSS/BMSS,7,6,[13],10,12,48,35,8th
SWE,9038,Mikael Gustafsson,Tore Reinhold,BKSS,[11],8,8,11,8,46,35,9th
SWE,8912,Tom Hastenpflug,Toni Hastenpflug,SSÅV,9,[11],11,7,9,47,36,10th
SWE,8859,Tomas Franzén,Lars Lindgren,RJK,10,[12],9,9,11,51,39,11th
SWE,8632,Mats Lindgren,Felix Stööp Lindgren,BKSS,13,9,12,[14],13,61,47,12th
SWE,8412,Olof Bengtsson,Joel Kaspersson,VSS,14,13,10,12,[20 DNC],69,49,13th
SWE,8651,Peter Andersson,Per-Eric Thörnström,SS Viken-Ägir,[20 DNC],20 DNC,20 DNC,13,6,79,59,14th
SWE,9092,Knut Hastenpflug,Jana Hastenpflug,SSÅV,16,14,14,16,[20 DNC],80,60,15th
SWE,8835,Joakim Stadig,Ulf Christofferson,Båss,15,15,17,15,[20 DNC],82,62,16th
SWE,8666,Anders Dahlén,Anders Nilsson,,12,17,16,[20 DNC],20 DNF,85,65,17th
FRA,9014,Alain Dupuis,Gustav von Sydow,Bkss,17,16,15,17,[20 DNC],85,65,18th
SWE,8807,Per Kjellberg,Rita Cording,SS Delfinen/Vejbystrand,18,[20 DNC],20 DNC,20 DNC,20 DNC,98,78,19th
