Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Boat Name,Points Total,Points Netto,Place
SWE,9038,Tore Reinhold,,BKSS,3,1,1,,5,5,1
SWE,9117,Fredrik Mogren,,LDSS,1,2,2,,5,5,2
SWE,8632,Mats Lindgren,,BKSS,2,3,3,,8,8,3
