Boot,Boat number,Steuermann,Vorschoter,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Punkte,Pl.
BEL,8773,Pietr Van Loer,Eric Froidmont,,1,2,1,2,1,1,1,1,,1
BEL,8880,Geert De Pauw,Koen Jourquin,NWVN,2,5,2,3,1,2,4,3,,2
GER,8670,Gerhard Engel,Renita Engel,YCSB,3,1,3,4,OCS,3,2,5,,3
FRA,8969,Jean-Pierre Noclain,Thomas Pype,CVV,5,4,5,5,OCS,9,3,4,,4
BEL,8564,Didier Trine,Philippe Van Dersteen,KYC,4,3,6,6,6,5,5,DNC,,5
BEL,8688,Bernard Blondy,G Gennart,CVA,6,8,8,1,4,7,7,8,,6
FRA,8676,Marcel Buffet,Roger Chabaud,CVP,8,10,7,9,7,6,6,6,,7
BEL,8802,F Hardy,V Hardy,HZC,9,7,9,8,8,8,8,7,,8
FRA,8687,Philippe Lucienne,Vivien Lucienne,SRDC,DNC,6,4,7,2,DNC,DNC,DNC,,9
FRA,771*,Dominique Rouanne,Virginie Laurrent,,7,9,10,13,5,DNC,DNC,DNC,,10
BEL,8352,Benoît Raucent,Phillippe Chevelier,ULYC,DNC,11,12,10,3,DNC,DNC,9,,11
FRA,8770,Jean-Marc Noclain,Romain Delmotte,CVA,10,12,11,12,9,10,10,DNF,,12
BEL,8742,Frederik Decocq,Gilles Bernon,SNEH,DNC,DNC,DNC,DNC,DNC,4,9,2,,13
BEL,827*,M Teheux,A Duchesne,,11,13,13,11,DNC,11,11,10,,14
BEL,7695,Ph Devalkaneer,Y Mahieux,,DNC,DNC,DNC,14,DNC,12,DNC,DNC,,15
